# energy density [MeV/fm3], pressure  [MeV/fm3], baryon density [1/fm3], chemical potential [MeV]
295.9554778508,8.6280261375,0.0045733252,66600.01
292.6646993288,8.4005970512,0.0045238956,66550.01
289.3992764892,8.1756308458,0.00447481,66500.01
286.1591749326,7.9531103216,0.0044260683,66450.01
282.9443602595,7.7330182789,0.0043776707,66400.01
279.7539723686,7.5153376109,0.0043296046,66350.01
276.5818377121,7.3000539747,0.0042817775,66300.01
273.4266821155,7.0871561915,0.0042341705,66250.01
270.2884835678,6.8766332557,0.0041867836,66200.01
267.1672200583,6.668474162,0.0041396168,66150.01
264.0628695759,6.462667905,0.0040926701,66100.01
260.9754101099,6.2592034791,0.0040459436,66050.01
257.9048196495,6.058069879,0.0039994371,66000.01
254.8510761836,5.8592560992,0.0039531508,65950.01
251.8141577015,5.6627511343,0.0039070845,65900.01
248.7940421923,5.4685439789,0.0038612384,65850.01
245.7907076451,5.2766236275,0.0038156124,65800.01
242.8041320491,5.0869790747,0.0037702064,65750.01
239.8342933934,4.899599315,0.0037250206,65700.01
236.8811696671,4.7144733431,0.0036800549,65650.01
233.9447388594,4.5315901534,0.0036353093,65600.01
231.0249789593,4.3509387407,0.0035907839,65550.01
228.1218679561,4.1725080993,0.0035464785,65500.01
225.2353838389,3.996287224,0.0035023932,65450.01
222.3655045967,3.8222651092,0.0034585281,65400.01
219.5122082188,3.6504307495,0.003414883,65350.01
216.6754726942,3.4807731395,0.0033714581,65300.01
213.8552760121,3.3132812738,0.0033282532,65250.01
211.0515961617,3.1479441469,0.0032852685,65200.01
208.264411132,2.9847507534,0.0032425039,65150.01
205.4936989121,2.8236900878,0.0031999594,65100.01
202.7394374914,2.6647511448,0.003157635,65050.01
200.0016048587,2.5079229189,0.0031155307,65000.01
197.2801790034,2.3531944046,0.0030736465,64950.01
194.5751379145,2.2005545966,0.0030319825,64900.01
191.8864595811,2.0499924893,0.0029905385,64850.01
189.2141219925,1.9014970774,0.0029493147,64800.01
186.5581031377,1.7550573554,0.0029083109,64750.01
183.9183810058,1.6106623179,0.0028675273,64700.01
181.294933586,1.4683009595,0.0028269637,64650.01
178.6877388674,1.3279622747,0.0027866203,64600.01
176.0967748392,1.1896352581,0.002746497,64550.01
173.5220194905,1.0533089043,0.0027065938,64500.01
170.9634508104,0.9189722077,0.0026669107,64450.01
168.4210467881,0.7866141631,0.0026274477,64400.01
165.8947854126,0.6562237649,0.0025882049,64350.01
163.3846446732,0.5277900077,0.0025491821,64300.01
160.8906025589,0.4013018862,0.0025103794,64250.01
158.4126370589,0.2767483948,0.0024717969,64200.01
