# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
2363.551722, 930.355703, 1.665188, 1978.100000, 0.871537
2363.272571, 930.189191, 1.665047, 1978.000000, 0.871506
2362.992372, 930.022694, 1.664904, 1977.900000, 0.871476
2362.714079, 929.856210, 1.664764, 1977.800000, 0.871445
2362.436316, 929.689741, 1.664625, 1977.700000, 0.871415
2362.155340, 929.523286, 1.664481, 1977.600000, 0.871384
2361.876369, 929.356845, 1.664341, 1977.500000, 0.871353
2361.595497, 929.190418, 1.664197, 1977.400000, 0.871322
2361.319236, 929.024005, 1.664060, 1977.300000, 0.871292
2361.038497, 928.857606, 1.663917, 1977.200000, 0.871260
2360.759108, 928.691221, 1.663775, 1977.100000, 0.871230
2360.480407, 928.524851, 1.663634, 1977.000000, 0.871199
2360.202216, 928.358495, 1.663494, 1976.900000, 0.871168
2359.922722, 928.192152, 1.663353, 1976.800000, 0.871138
2359.644567, 928.025824, 1.663213, 1976.700000, 0.871107
2359.363712, 927.859510, 1.663069, 1976.600000, 0.871076
2359.084774, 927.693210, 1.662928, 1976.500000, 0.871045
2358.805116, 927.526924, 1.662786, 1976.400000, 0.871014
2358.527209, 927.360653, 1.662646, 1976.300000, 0.870984
2358.249082, 927.194395, 1.662506, 1976.200000, 0.870953
2357.969153, 927.028152, 1.662364, 1976.100000, 0.870922
2357.689567, 926.861923, 1.662222, 1976.000000, 0.870891
2357.412169, 926.695707, 1.662083, 1975.900000, 0.870861
2357.130467, 926.529506, 1.661938, 1975.800000, 0.870829
2356.855258, 926.363319, 1.661802, 1975.700000, 0.870799
2356.573921, 926.197146, 1.661658, 1975.600000, 0.870768
2356.295596, 926.030988, 1.661517, 1975.500000, 0.870737
2356.016554, 925.864843, 1.661376, 1975.400000, 0.870706
2355.737771, 925.698713, 1.661235, 1975.300000, 0.870675
2355.458432, 925.532596, 1.661093, 1975.200000, 0.870644
2355.180187, 925.366494, 1.660953, 1975.100000, 0.870614
2354.900068, 925.200406, 1.660810, 1975.000000, 0.870583
2354.621116, 925.034332, 1.660669, 1974.900000, 0.870552
2354.342033, 924.868272, 1.660527, 1974.800000, 0.870521
