# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
1856.882000, 752.542818, 1.318091, 1979.700000
1856.663438, 752.411015, 1.317981, 1979.600000
1856.443509, 752.279222, 1.317870, 1979.500000
1856.224626, 752.147441, 1.317759, 1979.400000
1856.005046, 752.015671, 1.317648, 1979.300000
1855.785917, 751.883911, 1.317537, 1979.200000
1855.566205, 751.752163, 1.317426, 1979.100000
1855.346855, 751.620426, 1.317315, 1979.000000
1855.128842, 751.488700, 1.317206, 1978.900000
1854.908865, 751.356985, 1.317094, 1978.800000
1854.689189, 751.225281, 1.316983, 1978.700000
1854.471059, 751.093589, 1.316873, 1978.600000
1854.251788, 750.961907, 1.316762, 1978.500000
1854.031033, 750.830236, 1.316650, 1978.400000
1853.812888, 750.698577, 1.316541, 1978.300000
1853.594166, 750.566928, 1.316430, 1978.200000
1853.374423, 750.435291, 1.316318, 1978.100000
1853.156361, 750.303665, 1.316209, 1978.000000
1852.934829, 750.172049, 1.316095, 1977.900000
1852.717423, 750.040445, 1.315987, 1977.800000
1852.497117, 749.908852, 1.315874, 1977.700000
1852.278423, 749.777270, 1.315764, 1977.600000
1852.058588, 749.645699, 1.315652, 1977.500000
1851.839929, 749.514139, 1.315542, 1977.400000
1851.621755, 749.382591, 1.315433, 1977.300000
1851.403125, 749.251053, 1.315323, 1977.200000
1851.183353, 749.119526, 1.315211, 1977.100000
1850.965093, 748.988011, 1.315101, 1977.000000
1850.744510, 748.856507, 1.314988, 1976.900000
1850.526725, 748.725013, 1.314879, 1976.800000
1850.306672, 748.593531, 1.314767, 1976.700000
1850.087475, 748.462060, 1.314656, 1976.600000
1849.869863, 748.330600, 1.314547, 1976.500000
1849.649230, 748.199151, 1.314433, 1976.400000
1849.432149, 748.067713, 1.314326, 1976.300000
1849.210697, 747.936286, 1.314211, 1976.200000
1848.992180, 747.804870, 1.314101, 1976.100000
1848.775148, 747.673465, 1.313993, 1976.000000
1848.555183, 747.542072, 1.313881, 1975.900000
1848.336898, 747.410689, 1.313771, 1975.800000
1848.116968, 747.279318, 1.313659, 1975.700000
1847.898864, 747.147957, 1.313549, 1975.600000
1847.679278, 747.016608, 1.313437, 1975.500000
1847.460683, 746.885270, 1.313327, 1975.400000
1847.241627, 746.753943, 1.313216, 1975.300000
1847.023347, 746.622627, 1.313106, 1975.200000
1846.803505, 746.491322, 1.312994, 1975.100000
1846.584468, 746.360028, 1.312883, 1975.000000
1846.366477, 746.228745, 1.312773, 1974.900000
1846.147755, 746.097473, 1.312663, 1974.800000
1845.927977, 745.966213, 1.312550, 1974.700000
1845.709785, 745.834963, 1.312440, 1974.600000
1845.489958, 745.703725, 1.312328, 1974.500000
1845.272354, 745.572497, 1.312219, 1974.400000
1845.054211, 745.441281, 1.312109, 1974.300000
1844.834948, 745.310076, 1.311997, 1974.200000
1844.615893, 745.178882, 1.311886, 1974.100000
1844.396163, 745.047698, 1.311774, 1974.000000
1844.178585, 744.916526, 1.311665, 1973.900000
1843.959014, 744.785366, 1.311553, 1973.800000
1843.740329, 744.654216, 1.311442, 1973.700000
1843.521955, 744.523077, 1.311332, 1973.600000
1843.303375, 744.391949, 1.311221, 1973.500000
1843.084555, 744.260833, 1.311110, 1973.400000
1842.867063, 744.129727, 1.311001, 1973.300000
1842.645957, 743.998633, 1.310887, 1973.200000
1842.427941, 743.867549, 1.310777, 1973.100000
1842.210179, 743.736477, 1.310667, 1973.000000
1841.991693, 743.605416, 1.310557, 1972.900000
1841.772279, 743.474366, 1.310445, 1972.800000
1841.554508, 743.343327, 1.310335, 1972.700000
1841.336565, 743.212299, 1.310226, 1972.600000
1841.116881, 743.081282, 1.310113, 1972.500000
1840.897345, 742.950276, 1.310001, 1972.400000
1840.681105, 742.819282, 1.309893, 1972.300000
1840.460092, 742.688298, 1.309779, 1972.200000
1840.244042, 742.557326, 1.309672, 1972.100000
1840.022750, 742.426364, 1.309557, 1972.000000
1839.805421, 742.295414, 1.309448, 1971.900000
1839.586915, 742.164475, 1.309338, 1971.800000
1839.368300, 742.033546, 1.309227, 1971.700000
1839.149136, 741.902629, 1.309115, 1971.600000
1838.930551, 741.771723, 1.309004, 1971.500000
1838.713634, 741.640828, 1.308895, 1971.400000
1838.494019, 741.509945, 1.308783, 1971.300000
1838.274984, 741.379072, 1.308671, 1971.200000
1838.058026, 741.248210, 1.308563, 1971.100000
1837.839021, 741.117360, 1.308451, 1971.000000
1837.620303, 740.986520, 1.308340, 1970.900000
1837.401768, 740.855692, 1.308228, 1970.800000
1837.184874, 740.724874, 1.308120, 1970.700000
1836.964932, 740.594068, 1.308007, 1970.600000
1836.746441, 740.463273, 1.307896, 1970.500000
1836.529616, 740.332489, 1.307787, 1970.400000
1836.310159, 740.201716, 1.307675, 1970.300000
1836.091217, 740.070954, 1.307563, 1970.200000
1835.872942, 739.940203, 1.307453, 1970.100000
1835.655470, 739.809463, 1.307343, 1970.000000
1835.436200, 739.678735, 1.307232, 1969.900000
1835.218346, 739.548017, 1.307121, 1969.800000
1834.998978, 739.417311, 1.307008, 1969.700000
1834.782197, 739.286615, 1.306900, 1969.600000
1834.562888, 739.155931, 1.306787, 1969.500000
1834.345637, 739.025258, 1.306678, 1969.400000
1834.128146, 738.894595, 1.306569, 1969.300000
1833.907823, 738.763944, 1.306455, 1969.200000
1833.691121, 738.633304, 1.306346, 1969.100000
1833.471552, 738.502675, 1.306233, 1969.000000
1833.253400, 738.372058, 1.306123, 1968.900000
1833.034616, 738.241451, 1.306011, 1968.800000
1832.817497, 738.110855, 1.305902, 1968.700000
1832.598562, 737.980271, 1.305790, 1968.600000
1832.379846, 737.849697, 1.305678, 1968.500000
1832.163252, 737.719135, 1.305570, 1968.400000
1831.944693, 737.588583, 1.305459, 1968.300000
1831.725630, 737.458043, 1.305346, 1968.200000
1831.508605, 737.327514, 1.305237, 1968.100000
1831.288759, 737.196996, 1.305124, 1968.000000
1831.072767, 737.066489, 1.305016, 1967.900000
1830.853890, 736.935993, 1.304905, 1967.800000
1830.635304, 736.805508, 1.304793, 1967.700000
1830.416462, 736.675035, 1.304681, 1967.600000
1830.199152, 736.544572, 1.304571, 1967.500000
1829.980404, 736.414120, 1.304460, 1967.400000
1829.762943, 736.283680, 1.304350, 1967.300000
1829.545658, 736.153251, 1.304240, 1967.200000
1829.325422, 736.022832, 1.304126, 1967.100000
1829.109562, 735.892425, 1.304018, 1967.000000
1828.890829, 735.762029, 1.303907, 1966.900000
1828.673133, 735.631644, 1.303796, 1966.800000
1828.454767, 735.501270, 1.303685, 1966.700000
1828.236710, 735.370907, 1.303574, 1966.600000
1828.018374, 735.240555, 1.303463, 1966.500000
1827.799905, 735.110215, 1.303351, 1966.400000
1827.583096, 734.979885, 1.303242, 1966.300000
1827.363938, 734.849567, 1.303129, 1966.200000
1827.146164, 734.719259, 1.303019, 1966.100000
1826.927755, 734.588963, 1.302907, 1966.000000
1826.710956, 734.458677, 1.302798, 1965.900000
1826.493481, 734.328403, 1.302688, 1965.800000
1826.274623, 734.198140, 1.302576, 1965.700000
1826.056557, 734.067888, 1.302464, 1965.600000
1825.839132, 733.937647, 1.302355, 1965.500000
1825.621154, 733.807417, 1.302243, 1965.400000
1825.403293, 733.677199, 1.302132, 1965.300000
