# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
3.552400e+15, 1.280680e+36, 1e+39
3.551982e+15, 1.280454e+36, 1e+39
3.551561e+15, 1.280228e+36, 1e+39
3.551138e+15, 1.280001e+36, 1e+39
3.550717e+15, 1.279775e+36, 1e+39
3.550300e+15, 1.279549e+36, 1e+39
3.549877e+15, 1.279322e+36, 1e+39
3.549458e+15, 1.279096e+36, 1e+39
3.549038e+15, 1.278870e+36, 1e+39
3.548616e+15, 1.278643e+36, 1e+39
3.548196e+15, 1.278417e+36, 1e+39
3.547776e+15, 1.278191e+36, 1e+39
3.547357e+15, 1.277965e+36, 1e+39
3.546936e+15, 1.277739e+36, 1e+39
3.546517e+15, 1.277512e+36, 1e+39
3.546097e+15, 1.277286e+36, 1e+39
3.545674e+15, 1.277060e+36, 1e+39
3.545255e+15, 1.276834e+36, 1e+39
3.544836e+15, 1.276608e+36, 1e+39
3.544414e+15, 1.276382e+36, 1e+39
3.543995e+15, 1.276156e+36, 1e+39
3.543575e+15, 1.275930e+36, 1e+39
3.543154e+15, 1.275704e+36, 1e+39
3.542737e+15, 1.275478e+36, 1e+39
3.542316e+15, 1.275252e+36, 1e+39
3.541894e+15, 1.275026e+36, 1e+39
3.541473e+15, 1.274800e+36, 1e+39
3.541055e+15, 1.274574e+36, 1e+39
3.540636e+15, 1.274348e+36, 1e+39
3.540215e+15, 1.274122e+36, 1e+39
3.539797e+15, 1.273896e+36, 1e+39
3.539375e+15, 1.273671e+36, 1e+39
3.538957e+15, 1.273445e+36, 1e+39
3.538536e+15, 1.273219e+36, 1e+39
3.538116e+15, 1.272993e+36, 1e+39
3.537697e+15, 1.272767e+36, 1e+39
3.537276e+15, 1.272542e+36, 1e+39
3.536857e+15, 1.272316e+36, 1e+39
3.536436e+15, 1.272090e+36, 1e+39
3.536019e+15, 1.271865e+36, 1e+39
3.535597e+15, 1.271639e+36, 1e+39
3.535177e+15, 1.271413e+36, 1e+39
3.534758e+15, 1.271188e+36, 1e+39
3.534338e+15, 1.270962e+36, 1e+39
3.533919e+15, 1.270736e+36, 1e+39
3.533498e+15, 1.270511e+36, 1e+39
3.533078e+15, 1.270285e+36, 1e+39
3.532659e+15, 1.270060e+36, 1e+39
3.532240e+15, 1.269834e+36, 1e+39
3.531824e+15, 1.269609e+36, 1e+39
3.531401e+15, 1.269383e+36, 1e+39
3.530984e+15, 1.269158e+36, 1e+39
3.530564e+15, 1.268932e+36, 1e+39
3.530139e+15, 1.268707e+36, 1e+39
3.529726e+15, 1.268482e+36, 1e+39
3.529302e+15, 1.268256e+36, 1e+39
3.528886e+15, 1.268031e+36, 1e+39
3.528465e+15, 1.267806e+36, 1e+39
3.528047e+15, 1.267580e+36, 1e+39
3.527626e+15, 1.267355e+36, 1e+39
3.527207e+15, 1.267130e+36, 1e+39
3.526785e+15, 1.266904e+36, 1e+39
3.526368e+15, 1.266679e+36, 1e+39
3.525949e+15, 1.266454e+36, 1e+39
3.525530e+15, 1.266229e+36, 1e+39
3.525111e+15, 1.266004e+36, 1e+39
3.524690e+15, 1.265778e+36, 1e+39
3.524272e+15, 1.265553e+36, 1e+39
3.523853e+15, 1.265328e+36, 1e+39
3.523434e+15, 1.265103e+36, 1e+39
3.523014e+15, 1.264878e+36, 1e+39
3.522595e+15, 1.264653e+36, 1e+39
3.522176e+15, 1.264428e+36, 1e+39
3.521758e+15, 1.264203e+36, 1e+39
3.521337e+15, 1.263978e+36, 1e+39
3.520920e+15, 1.263753e+36, 1e+39
3.520501e+15, 1.263528e+36, 1e+39
3.520082e+15, 1.263303e+36, 1e+39
3.519660e+15, 1.263078e+36, 1e+39
3.519245e+15, 1.262853e+36, 1e+39
3.518822e+15, 1.262628e+36, 1e+39
3.518407e+15, 1.262403e+36, 1e+39
3.517986e+15, 1.262178e+36, 1e+39
3.517566e+15, 1.261953e+36, 1e+39
3.517150e+15, 1.261729e+36, 1e+39
3.516728e+15, 1.261504e+36, 1e+39
3.516309e+15, 1.261279e+36, 1e+39
3.515893e+15, 1.261054e+36, 1e+39
3.515471e+15, 1.260830e+36, 1e+39
3.515055e+15, 1.260605e+36, 1e+39
3.514635e+15, 1.260380e+36, 1e+39
3.514217e+15, 1.260155e+36, 1e+39
3.513797e+15, 1.259931e+36, 1e+39
3.513381e+15, 1.259706e+36, 1e+39
3.512961e+15, 1.259481e+36, 1e+39
3.512540e+15, 1.259257e+36, 1e+39
3.512123e+15, 1.259032e+36, 1e+39
3.511703e+15, 1.258808e+36, 1e+39
3.511285e+15, 1.258583e+36, 1e+39
3.510870e+15, 1.258359e+36, 1e+39
3.510448e+15, 1.258134e+36, 1e+39
3.510028e+15, 1.257910e+36, 1e+39
3.509611e+15, 1.257685e+36, 1e+39
3.509192e+15, 1.257461e+36, 1e+39
3.508776e+15, 1.257236e+36, 1e+39
3.508356e+15, 1.257012e+36, 1e+39
3.507936e+15, 1.256787e+36, 1e+39
3.507518e+15, 1.256563e+36, 1e+39
3.507103e+15, 1.256339e+36, 1e+39
3.506683e+15, 1.256114e+36, 1e+39
3.506267e+15, 1.255890e+36, 1e+39
3.505845e+15, 1.255666e+36, 1e+39
3.505427e+15, 1.255441e+36, 1e+39
3.505008e+15, 1.255217e+36, 1e+39
3.504593e+15, 1.254993e+36, 1e+39
3.504172e+15, 1.254769e+36, 1e+39
3.503754e+15, 1.254544e+36, 1e+39
3.503336e+15, 1.254320e+36, 1e+39
3.502920e+15, 1.254096e+36, 1e+39
3.502497e+15, 1.253872e+36, 1e+39
3.502082e+15, 1.253648e+36, 1e+39
3.501661e+15, 1.253424e+36, 1e+39
3.501245e+15, 1.253200e+36, 1e+39
3.500826e+15, 1.252975e+36, 1e+39
3.500409e+15, 1.252751e+36, 1e+39
3.499990e+15, 1.252527e+36, 1e+39
3.499569e+15, 1.252303e+36, 1e+39
3.499155e+15, 1.252079e+36, 1e+39
3.498734e+15, 1.251855e+36, 1e+39
3.498320e+15, 1.251631e+36, 1e+39
3.497902e+15, 1.251407e+36, 1e+39
3.497482e+15, 1.251184e+36, 1e+39
3.497063e+15, 1.250960e+36, 1e+39
3.496646e+15, 1.250736e+36, 1e+39
3.496229e+15, 1.250512e+36, 1e+39
3.495810e+15, 1.250288e+36, 1e+39
3.495393e+15, 1.250064e+36, 1e+39
3.494975e+15, 1.249840e+36, 1e+39
3.494555e+15, 1.249617e+36, 1e+39
3.494141e+15, 1.249393e+36, 1e+39
3.493721e+15, 1.249169e+36, 1e+39
3.493302e+15, 1.248945e+36, 1e+39
3.492884e+15, 1.248722e+36, 1e+39
3.492468e+15, 1.248498e+36, 1e+39
