################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# mu_0 = 2700.0
# quarks_eos_file_name = ../workspace/eos.mft.qcd/MFT.QCD.B_70_XI_0.0075.FULL.NUC.csv
# hadrons_eos_file_name = ../workspace/eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=679.5593621124518, sup_limit=7259.004141288889)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Transition pressure (hadrons) = [ 1716.51221336]
# Transition pressure (quarks) = [ 1716.51221336]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
2261.2194475, 1738.97393581, 2672.19818834
2256.70284531, 1735.02000861, 2669.55342009
2252.18624312, 1731.06608141, 2666.90865183
2247.66964093, 1727.11215421, 2664.26388358
2243.15303874, 1723.158227, 2661.61911532
2238.66116592, 1719.22783129, 2658.97434707
2414.55425727, 1715.2403754, 2656.32957881
2410.84955707, 1711.11853192, 2653.68481056
2407.14485686, 1706.99668845, 2651.0400423
2403.44015666, 1702.87484497, 2648.39527405
2399.77935171, 1698.8131952, 2645.75050579
2396.14211754, 1694.78387134, 2643.10573754
2392.50488337, 1690.75454749, 2640.46096928
2388.86764921, 1686.72522363, 2637.81620102
2385.23041504, 1682.69589977, 2635.17143277
2381.59318087, 1678.66657592, 2632.52666451
2377.9559467, 1674.63725206, 2629.88189626
2374.31871253, 1670.6079282, 2627.237128
2370.68147836, 1666.57860434, 2624.59235975
2367.0442442, 1662.54928049, 2621.94759149
2363.40701003, 1658.51995663, 2619.30282324
2359.76977586, 1654.49063277, 2616.65805498
2356.13254169, 1650.46130892, 2614.01328673
2352.49530752, 1646.43198506, 2611.36851847
2348.85807335, 1642.4026612, 2608.72375022
2345.22083918, 1638.37333735, 2606.07898196
2341.58360502, 1634.34401349, 2603.43421371
2337.94637085, 1630.31468963, 2600.78944545
2334.30913668, 1626.28536578, 2598.1446772
2330.67190251, 1622.25604192, 2595.49990894
2327.03466834, 1618.22671806, 2592.85514069
2323.39743417, 1614.19739421, 2590.21037243
2319.76020001, 1610.16807035, 2587.56560418
2316.12296584, 1606.13874649, 2584.92083592
2312.48573167, 1602.10942263, 2582.27606767
2308.8484975, 1598.08009878, 2579.63129941
2305.21126333, 1594.05077492, 2576.98653116
2301.57402916, 1590.02145106, 2574.3417629
2297.936795, 1585.99212721, 2571.69699465
2294.29956083, 1581.96280335, 2569.05222639
2290.66232666, 1577.93347949, 2566.40745814
2287.02509249, 1573.90415564, 2563.76268988
2283.38785832, 1569.87483178, 2561.11792163
2279.75062415, 1565.84550792, 2558.47315337
2276.11338999, 1561.81618407, 2555.82838512
2272.47615582, 1557.78686021, 2553.18361686
2268.90523323, 1553.8775965, 2550.53884861
2265.34437506, 1549.9865564, 2547.89408035
2261.7835169, 1546.09551629, 2545.2493121
2258.22265873, 1542.20447619, 2542.60454384
2254.66180057, 1538.31343608, 2539.95977559
2251.1009424, 1534.42239598, 2537.31500733
2247.54008424, 1530.53135587, 2534.67023908
2243.97922607, 1526.64031577, 2532.02547082
2240.41836791, 1522.74927567, 2529.38070256
2236.85750974, 1518.85823556, 2526.73593431
2233.29665158, 1514.96719546, 2524.09116605
2229.73579341, 1511.07615535, 2521.4463978
2226.17493525, 1507.18511525, 2518.80162954
2222.61407708, 1503.29407514, 2516.15686129
2219.05321892, 1499.40303504, 2513.51209303
2215.49236075, 1495.51199493, 2510.86732478
2211.93150259, 1491.62095483, 2508.22255652
2208.37064442, 1487.72991472, 2505.57778827
2204.80978625, 1483.83887462, 2502.93302001
2201.24892809, 1479.94783451, 2500.28825176
2197.68806992, 1476.05679441, 2497.6434835
2194.12721176, 1472.1657543, 2494.99871525
2190.56635359, 1468.2747142, 2492.35394699
