#energia,  pressao,  rho, mu_B
669.7773739698, 105.6232335517, 0.6319484459, 1226.9997854029
667.8587495647, 104.9915428384, 0.6303837418, 1225.9997223676
665.9305713513, 104.3613182454, 0.6288094323, 1225.000532826
664.0403520259, 103.7325529457, 0.6272653274, 1224.0002298859
662.1644998307, 103.1053573721, 0.6257315325, 1223.0003084094
660.2637867191, 102.4796700384, 0.6241775618, 1221.9975587919
658.3462471439, 101.8554438943, 0.6226067731, 1220.9981065393
656.3218682014, 101.2327321336, 0.6209476114, 1219.9976076417
654.4199255765, 100.6118029517, 0.6193867688, 1218.9988009485
652.5131856884, 99.9927842737, 0.6178221085, 1217.9978016741
650.5867935317, 99.3754650859, 0.616238756, 1216.9995010701
648.6508415514, 98.7597541707, 0.6146466738, 1216.0003911759
646.6599134158, 98.1456144496, 0.613007703, 1215.0019066115
644.6553546777, 97.5331053341, 0.6113587339, 1213.9982940531
642.6639936658, 96.9221488172, 0.6097167148, 1212.9996186448
640.675709737, 96.3126949035, 0.6080760028, 1212.0004756343
638.7173093532, 95.7047131246, 0.6064590616, 1211.0001631285
636.8825679059, 95.0983297788, 0.6049416889, 1210.0024037008
635.0477612687, 94.4938495491, 0.6034253655, 1209.0005698748
633.1633407754, 93.8910851819, 0.6018658682, 1208.0007596829
631.260110829, 93.2899268335, 0.6002893036, 1207.0014130478
629.3465839638, 92.6903110801, 0.598704015, 1205.999754409
627.4234910294, 92.0921915291, 0.5971076301, 1205.0016551018
625.4963912382, 91.4955307674, 0.5955082171, 1204.000047991
623.5641274906, 90.900296958, 0.5939021714, 1203.0001890099
621.625792071, 90.3064620675, 0.5922834338, 1202.0127755191
619.800277831, 89.7141184598, 0.5907691754, 1201.0010438033
618.0045944442, 89.1234853385, 0.5892722712, 1200.0022983405
616.2128857016, 88.5345371405, 0.5877809734, 1198.9966580789
614.379487389, 87.9471469812, 0.586248411, 1198.0017704879
612.4448819522, 87.3614026598, 0.5846331753, 1197.000639373
610.5622465769, 86.7772764222, 0.5830597958, 1196.000012343
608.7143715446, 86.1946348949, 0.5815141227, 1194.9993634533
606.8685043713, 85.6134024705, 0.5799656819, 1194.0049704266
605.1476903872, 85.0336934782, 0.5785292752, 1192.9930143338
603.3732555584, 84.4556537027, 0.5770373158, 1192.0007431111
601.5645519882, 83.8791256395, 0.5755167199, 1191.0056717548
599.7414425405, 83.3040419418, 0.5739875516, 1190.0005192633
597.9998767664, 82.7304494805, 0.5725235232, 1188.9997504331
596.1989548299, 82.1583337406, 0.5710080386, 1187.9995424095
594.3713197264, 81.5876275997, 0.5694676784, 1187.0014278528
592.5927222284, 81.0183152563, 0.5679732539, 1185.9907712333
590.8507450069, 80.4506646167, 0.5664990018, 1185.0001632179
589.0509458921, 79.8845608743, 0.5649789719, 1184.0007151829
587.1599073526, 79.3199932176, 0.563379402, 1183.0036707296
585.2832674365, 78.7569490282, 0.5617932545, 1182.0010495141
583.3949557797, 78.1953443041, 0.5601950832, 1180.9998337398
581.5190101039, 77.6352016446, 0.558606905, 1179.9965338677
579.723589423, 77.0768322678, 0.5570834398, 1178.9982877826
577.9121090059, 76.5203747777, 0.5555450977, 1178.0006455582
576.0569982863, 75.9655992992, 0.5539694528, 1177.0009957917
574.1783335415, 75.4123982841, 0.5523731985, 1175.9997291791
572.280608023, 74.8607066444, 0.5507588159, 1174.9994660761
570.3655056269, 74.3104772831, 0.5491263574, 1174.0029853247
568.49360148, 73.7616892194, 0.5475324116, 1172.9995833802
566.6674609694, 73.2145949, 0.5459739556, 1172.0010621589
564.8802385018, 72.6691615396, 0.5444489722, 1170.9993638043
563.0246651967, 72.1253321794, 0.5428634914, 1169.9994703443
561.1339926864, 71.5830111167, 0.5412465369, 1168.9996345723
559.2188938776, 71.0421466029, 0.5396059429, 1168.0024077384
557.3574141677, 70.5027303068, 0.5380131956, 1166.9976676365
555.4641858519, 69.9650756343, 0.5363885989, 1166.0002892284
553.5213988708, 69.4292502842, 0.534719122, 1165.0053710161
551.5691217092, 68.8950546656, 0.5330452185, 1163.9991408762
549.6923947648, 68.3624798868, 0.5314313941, 1163.0003074012
547.753003792, 67.8314764187, 0.5297633801, 1161.9989288281
545.8847945597, 67.3022384093, 0.528153981, 1161.0004941272
543.9506096603, 66.7748418699, 0.5264875929, 1159.9997033471
541.9862359245, 66.2490894912, 0.5247927031, 1159.0011099229
540.001970697, 65.7249019883, 0.5230801673, 1158.0000744711
537.9981851446, 65.2022273756, 0.5213490425, 1156.999175993
536.1729358026, 64.6811909826, 0.5197700275, 1155.9999519348
534.2608659748, 64.1619779132, 0.5181145869, 1155.0009572742
532.2496776613, 63.6446170141, 0.5163734013, 1153.9988178547
530.2333651473, 63.1289834267, 0.5146251026, 1152.9992330317
528.1985830166, 62.6149665846, 0.5128571979, 1152.0040120331
526.3013280452, 62.1027237011, 0.511211512, 1150.9992204512
524.3069682128, 61.5922151078, 0.5094776493, 1149.999777576
522.3484202687, 61.0833508347, 0.5077735116, 1149.0000122777
520.3513317039, 60.5761314413, 0.5060337651, 1148.0013848809
518.403952663, 60.0705205198, 0.5043379153, 1146.9977878193
516.431784206, 59.5666982888, 0.5026161512, 1146.0007424735
514.3220119816, 59.064739878, 0.5007738174, 1145.0014596904
512.2189889573, 58.5646824431, 0.4989402512, 1143.9920312591
510.1384179328, 58.0663496908, 0.4971154587, 1143.0036175149
508.2164753654, 57.5699475994, 0.4954348239, 1141.9997054663
506.184465006, 57.0753885212, 0.4936543253, 1141.0005435911
504.1102798576, 56.5825348306, 0.4918368019, 1139.9976831759
502.0062570579, 56.091318467, 0.4899872537, 1139.0042726743
500.0283178341, 55.6018949403, 0.4882543924, 1137.9932704007
497.906621078, 55.114277527, 0.4863856872, 1137.0007652863
495.8289667882, 54.6285869049, 0.4845651936, 1135.9824456624
493.7495313836, 54.1446992045, 0.4827238042, 1135.005619721
491.7165669462, 53.6627325899, 0.4809336781, 1134.0010575175
489.5715123043, 53.1826109748, 0.4790399332, 1133.003922395
487.4034918594, 52.7043187797, 0.4771218875, 1132.0122275
485.2958563678, 52.2277826016, 0.4752641734, 1130.9997029667
483.2132478388, 51.7531989221, 0.4734216173, 1130.0000406192
481.0542073278, 51.2806741482, 0.4715108008, 1128.9982765473
478.8623388673, 50.8100112453, 0.4695646774, 1128.0072280423
476.7773176929, 50.3412570985, 0.4677182655, 1127.0001915422
474.6062678902, 49.8743934399, 0.4657874587, 1126.0085507623
472.397318601, 49.4092976858, 0.4638303975, 1124.9944356719
470.303330476, 48.9459890558, 0.4619656158, 1123.9999294144
468.0936031455, 48.4848764801, 0.4599987948, 1122.9996371294
465.8493617578, 48.0258374892, 0.4580026502, 1121.9917592121
463.6266864872, 47.5687021485, 0.4560164125, 1121.0021713489
461.4333196783, 47.1135689954, 0.4540570924, 1120.0064863632
459.1906997642, 46.6603239504, 0.4520562086, 1119.0002793338
456.9333440716, 46.2089804806, 0.4500326198, 1118.0130114745
454.7644795048, 45.7598203102, 0.4480974877, 1116.9986743995
452.4916936036, 45.3126777757, 0.4460590188, 1116.0056189203
450.1773463511, 44.8674248279, 0.4439857054, 1115.0015984834
447.932914405, 44.4242399598, 0.441968857, 1114.0087057955
445.6265572806, 43.9831201355, 0.4399036803, 1112.9929103484
443.2953094416, 43.5441515703, 0.4378010453, 1112.0107322701
441.0656979861, 43.1073064738, 0.4357991049, 1111.0004565539
438.7323892928, 42.6724863809, 0.4336960587, 1110.0051890554
436.3861133248, 42.2395880819, 0.4315873608, 1108.9891522357
434.0564534504, 41.8088626566, 0.4294818328, 1107.9987085287
431.6683624253, 41.3803668509, 0.4273270049, 1106.9946992313
429.3481921491, 40.9539896054, 0.4252279521, 1106.0001569684
426.9965247821, 40.5297518144, 0.4231007882, 1104.9997770136
424.5565311839, 40.1076278325, 0.4208907635, 1104.0017963783
422.1901964431, 39.6877178035, 0.4187482566, 1102.9966261996
419.7669519323, 39.2699589685, 0.416546287, 1102.0069682339
417.3042504178, 38.8542864634, 0.4143128125, 1101.0003146332
414.9324339353, 38.4409489815, 0.4121585043, 1099.9976421453
412.4678904053, 38.0299057558, 0.4099156726, 1099.0011513052
410.03832435, 37.6209993866, 0.4077026241, 1098.0045192869
407.5706207009, 37.2142823505, 0.4054592842, 1096.9903029842
405.0371569145, 36.8098573945, 0.4031439877, 1096.0029859705
402.5692915386, 36.4077570516, 0.4008898031, 1095.0067703392
400.0530849714, 36.0078916675, 0.3985949888, 1093.9951300433
397.563000128, 35.6103425201, 0.3963162614, 1092.9991645746
395.0561719495, 35.2151387999, 0.3940219729, 1091.9982648989
392.4850596584, 34.8221285225, 0.3916657781, 1090.9995512932
389.9600109446, 34.4315583177, 0.3893492749, 1090.0022077149
387.3748530623, 34.0433799558, 0.3869778538, 1088.9983210308
384.835768665, 33.6574490277, 0.3846463528, 1087.9947636521
382.2330532313, 33.2739378599, 0.3822478837, 1087.0092649321
379.616331503, 32.8927928626, 0.3798440965, 1085.995881468
377.0318648857, 32.5140438315, 0.3774608155, 1085.0024476365
374.3884508114, 32.1377522471, 0.3750241885, 1083.9999539327
371.8077648337, 31.7637967863, 0.3726406663, 1083.0046156349
369.1517448821, 31.3922755145, 0.370188763, 1081.9994026139
366.5305494607, 31.0232419308, 0.3677618241, 1081.0088631726
363.8957849201, 30.6565992321, 0.3653265088, 1079.9993284897
361.2229708782, 30.2924166026, 0.3628492137, 1079.0029928076
358.6224731225, 29.9306668361, 0.360437529, 1078.0041163319
355.9526066927, 29.5714300381, 0.3579612761, 1076.9992802619
353.3342618708, 29.2145991331, 0.3555256435, 1076.0091937583
350.6930578959, 28.8602213773, 0.3530726605, 1075.0004793782
348.0672201122, 28.5083276964, 0.3506285399, 1074.001414476
345.4594961676, 28.1588729183, 0.3481996771, 1073.0003319786
342.8307415036, 27.8118284944, 0.3457486587, 1072.0000228115
340.2656360418, 27.4672312278, 0.3433552774, 1070.9981511187
337.6870626003, 27.1250481288, 0.3409453721, 1070.0016501684
335.1981333188, 26.7851857038, 0.3386193004, 1068.9978941851
332.7789829417, 26.4476731066, 0.336354735, 1067.9994027138
330.4564231521, 26.1123855202, 0.3341788789, 1066.9998351019
328.1936647515, 25.7791772598, 0.3320563358, 1066.0023733613
325.9131701306, 25.4481809536, 0.3299169359, 1064.9994371486
323.601688656, 25.1192894551, 0.3277467085, 1063.9953632357
321.2918720477, 24.7925844751, 0.3255733963, 1062.9998043527
318.9596529428, 24.4680840369, 0.3233782168, 1062.0002186318
316.606192569, 24.145750294, 0.3211607162, 1061.0013169487
314.2689329234, 23.8256676204, 0.3189574074, 1059.9992121836
311.870856969, 23.5078127219, 0.3166954686, 1058.994216694
309.5024934724, 23.1921693582, 0.3144572292, 1057.9965473349
307.1136156436, 22.8788380032, 0.3121974806, 1056.9990925378
304.6834480271, 22.567752737, 0.309897515, 1055.9981444516
302.2697291999, 22.2589580214, 0.3076101911, 1054.999790606
299.8349979959, 21.952459824, 0.3053010219, 1054.0005919964
297.3878853528, 21.6482843968, 0.3029783527, 1052.9998822096
294.930216583, 21.3464257758, 0.3006432191, 1051.9999197768
292.5134237356, 21.0468869375, 0.2983466351, 1050.9932871101
290.0643690021, 20.7496889895, 0.2960134946, 1049.9996240148
287.6002362429, 20.4548194109, 0.2936653695, 1049.0002828439
285.1325039185, 20.1622985479, 0.2913118104, 1048.0000864733
282.7116442164, 19.8721095365, 0.2890014025, 1046.9975271483
280.2852133095, 19.5842563662, 0.2866828406, 1045.9972738362
277.8737498162, 19.2987109432, 0.2843747764, 1045.002881631
275.4834349575, 19.0154549237, 0.282087101, 1043.9998456656
273.1723221088, 18.734458239, 0.2798732014, 1042.996538647
270.8891164629, 18.4556680541, 0.2776825357, 1041.9984959398
268.7158587124, 18.1790081307, 0.2755935621, 1041.0071433021
266.7434249449, 17.9043464814, 0.2736983783, 1040.0053269455
265.2157190866, 17.6313768722, 0.2722295335, 1039.0022432449
263.7093423927, 17.359858324, 0.2707803909, 1037.9968793824
262.2024448287, 17.0897852202, 0.269327145, 1036.9999283028
260.6837066164, 16.8211785566, 0.2678610526, 1036.0031160872
259.1547122508, 16.5540330772, 0.2663855039, 1034.9990570405
257.6372826351, 16.2883682769, 0.2649179196, 1034.0019704579
256.093691444, 16.0241866752, 0.2634252491, 1032.9984655746
254.5531285785, 15.7614952678, 0.261932729, 1032.0001814272
252.9922788798, 15.5003076937, 0.2604173141, 1031.0089693688
251.4398821061, 15.2406255619, 0.2589133011, 1029.9992566714
249.8674345819, 14.9824670714, 0.2573857993, 1028.9996664506
248.2840228316, 14.7258293016, 0.2558455302, 1028.0025293896
246.7139227602, 14.4707345567, 0.2543176739, 1027.0015972104
245.1165092471, 14.2171840331, 0.2527619242, 1025.9998378674
243.5189117644, 13.965191626, 0.251203972, 1025.0001276229
241.9044168422, 13.7147598916, 0.2496284045, 1023.9987603435
240.2967907924, 13.4659091361, 0.2480582097, 1022.9965789328
238.6543589363, 13.2186401139, 0.2464480048, 1022.0127334995
237.0353076542, 12.9729688758, 0.2448660245, 1021.0002676359
235.3853072575, 12.7289019011, 0.2432510447, 1019.9923682989
233.7347741047, 12.4864533159, 0.2416300034, 1019.0010508935
232.0662485118, 12.2456300273, 0.2399920497, 1017.9998829165
230.4008440656, 12.0064482728, 0.2383558382, 1016.9975031489
228.7202608289, 11.768912232, 0.2367017308, 1016.0009063913
227.0242284294, 11.5330393348, 0.2350312984, 1015.0021266948
225.3224670018, 11.2988381437, 0.2333535567, 1014.0034223787
223.6073224146, 11.0663221232, 0.2316615837, 1013.0019867639
221.8889599582, 10.8355008832, 0.2299644612, 1012.0018528885
220.150691766, 10.6063886458, 0.2282459517, 1011.0018542568
218.4092092326, 10.3789967425, 0.2265236776, 1009.9968725788
216.6493089502, 10.1533380025, 0.2247830296, 1008.9847411607
214.8840013625, 9.9294260158, 0.223027571, 1008.0073346411
213.1053022767, 9.707273428, 0.2212633646, 1007.0016613446
211.3152494337, 9.4868947877, 0.2194851021, 1006.0005990646
209.5106854656, 9.2683011172, 0.2176903651, 1005.0007795129
207.6976394269, 9.0515099691, 0.2158863951, 1003.9963345084
205.869249493, 8.836532014, 0.2140634741, 1003.0005465032
204.0231473648, 8.6233846675, 0.2122225269, 1001.9979272626
202.1703862939, 8.4120810919, 0.2103714843, 1001.0029071516
200.3032679407, 8.2026373618, 0.2085034699, 1000.0116802663
198.4208385008, 7.9950678703, 0.2066222911, 999.0011499659
196.5261717048, 7.7893895009, 0.2047251399, 997.9993728666
194.6141204142, 7.5856175641, 0.2028083, 996.9993238199
192.6936983754, 7.3837690869, 0.2008809857, 996.0000285493
190.7507451939, 7.1838608551, 0.1989287962, 995.0022812358
188.7961008361, 6.9859096801, 0.1969616513, 994.010809886
186.8240618075, 6.7899330589, 0.1949770147, 993.0093308008
184.8367413759, 6.5959495073, 0.1929752067, 992.0066633956
182.8338146973, 6.4039770807, 0.1909535778, 991.0146432074
180.8165113171, 6.2140344717, 0.1889190322, 990.003725866
178.7817380303, 6.0261409439, 0.1868653036, 988.9897985607
176.7235836197, 5.8403158673, 0.1847793217, 988.0104431134
174.6524137597, 5.6565797578, 0.1826836842, 987.0010795386
172.5626602918, 5.4749527021, 0.1805655435, 985.999928522
170.4508925841, 5.2954558083, 0.1784223136, 985.002071112
168.3236955921, 5.1181104776, 0.1762622514, 983.9985855062
166.1727783704, 4.9429387455, 0.1740732021, 983.0101074036
164.0064671458, 4.7699629313, 0.1718707486, 981.9962468368
161.8148824536, 4.5992059953, 0.1696365694, 981.0036186232
159.6069858079, 4.4306912446, 0.1673855307, 979.999145433
157.3752381568, 4.2644425355, 0.1651068632, 979.0003733156
155.1216022206, 4.1004842422, 0.1628030678, 978.004214338
152.8481591147, 3.9388410307, 0.1604791041, 976.9932417267
150.548123128, 3.7795380825, 0.1581222782, 976.0020088249
148.2295457598, 3.6226008183, 0.155745991, 974.9987502223
145.8868309879, 3.468054836, 0.1533417295, 974.0002691089
143.5219367325, 3.3159257136, 0.1509129319, 972.997214735
141.1319671773, 3.1662387638, 0.1484532572, 972.0110467727
138.7254030573, 3.0190183316, 0.1459767865, 971.0065882502
136.3019048154, 2.87428674, 0.1434809768, 969.997519162
133.8679314094, 2.7320606687, 0.140968889, 969.008077551
131.4367803741, 2.5923409386, 0.1384596565, 968.0012550702
128.9698672864, 2.4551524055, 0.1359105174, 966.9966845351
126.4626034622, 2.3205368327, 0.1333164605, 965.9957952443
123.9112946212, 2.1885381921, 0.1306727775, 965.0046110158
121.3184978009, 2.0592028859, 0.1279842183, 964.0071433064
118.6814074173, 1.9325799649, 0.1252476384, 963.0040847699
115.9978310392, 1.8087214485, 0.1224609276, 961.9929787708
113.2585299353, 1.6876826175, 0.1196116404, 960.9952020595
110.4623086626, 1.5695224109, 0.1166996797, 960.0011869835
107.607010793, 1.4543039001, 0.1137234356, 959.0047480205
104.6904007805, 1.3420947653, 0.1106814203, 957.9972435468
101.7001197202, 1.2329679924, 0.1075575023, 957.0051876967
98.6394279915, 1.1270026057, 0.1043588999, 955.9935059307
95.4931459194, 1.0242846253, 0.1010660866, 954.9932504562
92.2562801615, 0.9249082187, 0.0976752623, 953.9896409972
88.9172481527, 0.8289771514, 0.0941729105, 952.9940699541
85.4670652462, 0.7366066839, 0.0905508727, 951.991619746
81.8891804458, 0.6479259178, 0.0867903622, 950.9939157943
78.1653150432, 0.5630810433, 0.0828718556, 950.0016075664
74.2793465094, 0.4822396416, 0.0787805803, 948.9849643951
70.1921685867, 0.405596764, 0.0744703784, 947.9979401781
65.8712098251, 0.3333838677, 0.0699101096, 946.995993535
61.2581082236, 0.2658821836, 0.0650361291, 945.9971136005
56.2726075675, 0.2034446353, 0.0597634477, 944.9932093429
50.7846472386, 0.1465340634, 0.0539523662, 944.0027364199
44.5717025431, 0.0957986481, 0.0473679507, 942.9899442154
