#energia,  pressao,  rho, mu_B
1387.2731059789, 395.8880530956, 1.148204357, 1552.9998194468
1384.9008776373, 394.7405311666, 1.1466755194, 1552.0008744464
1382.530321582, 393.5945349098, 1.1451479984, 1551.0002715746
1380.1609831666, 392.4500641899, 1.1436199787, 1550.0000702772
1377.7929839107, 391.3071189181, 1.1420926788, 1548.9987245281
1375.4248772518, 390.1656990575, 1.1405627977, 1547.999443676
1373.0573968478, 389.0258046284, 1.1390320153, 1547.0005915306
1370.6918786484, 387.8874357154, 1.1375034206, 1545.999143887
1368.3264115982, 386.7505924768, 1.135973498, 1544.9981950927
1365.9593138086, 385.6152751563, 1.1344392063, 1544.0004006486
1363.5942753579, 384.4814840994, 1.1329082673, 1542.9985021088
1361.2265059142, 383.349219773, 1.1313705914, 1542.0020097891
1358.8597440068, 382.2184827933, 1.1298356446, 1541.0013263079
1356.492205716, 381.0892739647, 1.128299838, 1539.999759893
1354.1224358672, 379.9615943314, 1.1267611119, 1538.9988275761
1351.7430147123, 378.8354452519, 1.1252079327, 1538.0076958258
1349.3692105134, 377.7108285033, 1.1236665499, 1537.004050897
1346.9960622323, 376.5877464261, 1.1221290331, 1535.9943089288
1344.5991544495, 375.46620204, 1.1205602478, 1535.0047976858
1341.5097079853, 374.3464080373, 1.1185488464, 1534.001954021
1338.9905986748, 373.2285378292, 1.11690429, 1533.0043512595
1336.671354608, 372.1122046339, 1.1153887998, 1532.0070987704
1334.3524838109, 370.99739782, 1.1138782273, 1531.0020788797
1332.0409206615, 369.8841160892, 1.1123749368, 1529.992253931
1329.7245316948, 368.7723586039, 1.1108589879, 1528.9941466334
1327.4087824058, 367.662124923, 1.1093421038, 1527.996550004
1325.0956604415, 366.5534148996, 1.1078292102, 1526.9944679035
1322.7804923671, 365.4462286143, 1.106310458, 1525.9972539884
1320.4665706365, 364.340566337, 1.1047932234, 1524.9977110863
1318.1521121012, 363.2364284847, 1.1032742133, 1523.9987668278
1315.8384386114, 362.1338156018, 1.1017556799, 1522.9985057995
1313.5232049973, 361.0327283387, 1.1002339271, 1521.9999057915
1311.2096606395, 359.933167443, 1.0987145782, 1520.9981383495
1308.8937214428, 358.8351337449, 1.0971907176, 1519.9990561459
1306.5772928617, 357.7386281553, 1.0956655262, 1518.9999878645
1304.2609009411, 356.6436516585, 1.0941407145, 1517.9990384362
1301.9428875006, 355.5502053103, 1.0926126632, 1516.9997096666
1299.6243430107, 354.4582902371, 1.0910844092, 1515.9987799581
1297.3033616978, 353.3679076364, 1.0895514725, 1515.00072366
1294.9829928894, 352.2790587787, 1.0880204672, 1513.9991400035
1292.6590139788, 351.1917450102, 1.0864830352, 1513.0017733899
1290.3361653271, 350.1059677583, 1.084949457, 1511.9986673776
1288.0094322139, 349.0217285376, 1.0834096399, 1510.9992568135
1285.680993397, 347.9390289598, 1.0818677936, 1509.999680263
1283.3505059512, 346.857870743, 1.0803233712, 1509.0003791513
1281.0174248744, 345.7782557268, 1.0787765855, 1508.0005466406
1278.682508682, 344.7001858907, 1.0772290582, 1506.9986111821
1276.3420747249, 343.6236633766, 1.0756729083, 1506.0021737046
1274.0015541246, 342.5486905191, 1.0741209974, 1504.9982717285
1271.6536104061, 341.4752698857, 1.0725580556, 1504.0014588895
1269.3023157114, 340.4034043293, 1.0709939484, 1503.0016951976
1266.9460590664, 339.3330970618, 1.0694258669, 1502.001406355
1264.5823588598, 338.2643517568, 1.0678507847, 1501.0025123445
1262.2114557734, 337.1971727002, 1.0662711329, 1500.0018091772
1259.8304408121, 336.1315650234, 1.064682355, 1499.0029639493
1257.4368212725, 335.0675350782, 1.0630841866, 1498.0039929682
1255.0249724683, 334.0050911038, 1.061471496, 1497.0068151261
1252.5883949586, 332.9442445442, 1.0598434426, 1496.0064626562
1250.1127457645, 331.8850132074, 1.0581939327, 1494.9979489871
1247.5338265655, 330.8274322131, 1.0564717399, 1493.9928813563
1245.0735694194, 329.7715431541, 1.0548208609, 1492.9976937518
1242.8279202313, 328.7171788015, 1.0533220853, 1491.9891275699
1240.584127054, 327.6643175038, 1.0518168133, 1490.9900894782
1238.331506581, 326.6129604848, 1.0502980341, 1490.0003773264
1236.0826715069, 325.5631089922, 1.0487886635, 1488.9994856392
1233.8327296736, 324.514764299, 1.0472778414, 1487.9981532308
