# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
100.499969, 1.487302, 0.106159, 960.700000
100.739085, 1.497930, 0.106408, 960.800000
100.977187, 1.508583, 0.106656, 960.900000
101.213962, 1.519261, 0.106902, 961.000000
101.452302, 1.529964, 0.107150, 961.100000
101.687741, 1.540692, 0.107395, 961.200000
101.923332, 1.551443, 0.107640, 961.300000
102.159140, 1.562220, 0.107885, 961.400000
102.392726, 1.573021, 0.108128, 961.500000
102.626655, 1.583846, 0.108371, 961.600000
102.860261, 1.594695, 0.108614, 961.700000
103.093971, 1.605569, 0.108857, 961.800000
103.326088, 1.616467, 0.109099, 961.900000
103.558396, 1.627389, 0.109340, 962.000000
103.789883, 1.638336, 0.109581, 962.100000
104.021038, 1.649306, 0.109821, 962.200000
104.251358, 1.660300, 0.110060, 962.300000
104.483399, 1.671319, 0.110302, 962.400000
104.712116, 1.682361, 0.110539, 962.500000
104.940589, 1.693427, 0.110777, 962.600000
105.169414, 1.704516, 0.111014, 962.700000
105.397531, 1.715630, 0.111251, 962.800000
105.625675, 1.726767, 0.111488, 962.900000
105.852287, 1.737928, 0.111724, 963.000000
106.079088, 1.749112, 0.111959, 963.100000
106.304653, 1.760320, 0.112193, 963.200000
106.530999, 1.771551, 0.112428, 963.300000
106.755741, 1.782806, 0.112662, 963.400000
106.981008, 1.794084, 0.112896, 963.500000
107.204061, 1.805385, 0.113127, 963.600000
107.428214, 1.816709, 0.113359, 963.700000
107.652037, 1.828057, 0.113592, 963.800000
107.874830, 1.839428, 0.113823, 963.900000
108.096875, 1.850822, 0.114053, 964.000000
108.319032, 1.862239, 0.114284, 964.100000
108.541102, 1.873679, 0.114514, 964.200000
108.761816, 1.885142, 0.114743, 964.300000
108.983375, 1.896628, 0.114973, 964.400000
109.201504, 1.908137, 0.115198, 964.500000
109.421639, 1.919668, 0.115427, 964.600000
109.641849, 1.931223, 0.115655, 964.700000
109.860797, 1.942800, 0.115882, 964.800000
110.079684, 1.954399, 0.116109, 964.900000
110.296111, 1.966022, 0.116333, 965.000000
110.514491, 1.977667, 0.116560, 965.100000
110.732286, 1.989334, 0.116785, 965.200000
110.949388, 2.001024, 0.117011, 965.300000
111.164784, 2.012736, 0.117233, 965.400000
111.380818, 2.024471, 0.117457, 965.500000
111.596255, 2.036228, 0.117680, 965.600000
111.812379, 2.048007, 0.117904, 965.700000
112.026714, 2.059809, 0.118126, 965.800000
112.240913, 2.071633, 0.118348, 965.900000
112.454582, 2.083479, 0.118569, 966.000000
112.667954, 2.095347, 0.118790, 966.100000
112.880036, 2.107237, 0.119009, 966.200000
113.093809, 2.119149, 0.119231, 966.300000
113.306578, 2.131083, 0.119451, 966.400000
113.517927, 2.143039, 0.119670, 966.500000
113.729637, 2.155017, 0.119889, 966.600000
113.940712, 2.167017, 0.120107, 966.700000
114.151240, 2.179039, 0.120325, 966.800000
114.361248, 2.191082, 0.120542, 966.900000
114.572006, 2.203147, 0.120760, 967.000000
114.779843, 2.215234, 0.120974, 967.100000
114.989953, 2.227343, 0.121192, 967.200000
115.199002, 2.239473, 0.121408, 967.300000
115.407214, 2.251625, 0.121623, 967.400000
115.614360, 2.263798, 0.121837, 967.500000
115.823113, 2.275993, 0.122053, 967.600000
116.030164, 2.288209, 0.122267, 967.700000
116.236466, 2.300446, 0.122480, 967.800000
116.443524, 2.312705, 0.122694, 967.900000
116.650174, 2.324986, 0.122908, 968.000000
116.855744, 2.337287, 0.123120, 968.100000
