ERG_TO_MEV              ,6.241506E+005,,,,,,,
CM_TO_FM                ,1.000000E+013,,,,,,,
FM3_TO_CM3              ,1.000000E+039,,,,,,,
,,,,,,,,
LIGHT_SPEED_CGS,2.998000E+010,,,,,,,
LIGHT_SPEED_CGS_2,8.988004E+020,,,,,,,
LIGHT_SPEED_FM,2.998000E+023,fm/s,,,,,,
LIGHT_SPEED_FM_2,8.988004E+046,,,,,,,
,,,,,,,,
,,,,,,,,
# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg],,# epsilon[Mev/fm^3] , P[Mev/fm^3] ,  n_B[fm^{-3}] , mu [MeV]
442000000000,6.995E+029,2.643E+035,0.0015057483,,0.2479561886,0.0004365934,0.0002643,939.8137797852
418000000000,6.823E+029,2.5E+035,0.0015055235,,0.2344925042,0.000425858,0.00025,939.6734486247
401600000000,6.7E+029,2.401E+035,0.0015061568,,0.2252923198,0.0004181809,0.0002401,940.0687244028
386500000000,6.581E+029,2.311E+035,0.001506034,,0.2168214183,0.0004107535,0.0002311,939.9920894418
373000000000,6.468E+029,2.231E+035,0.0015056,,0.2092480958,0.0004037006,0.0002231,939.7211854084
361200000000,6.357E+029,2.16E+035,0.0015059371,,0.202628451,0.0003967726,0.000216,939.9315904532
349500000000,6.215E+029,2.091E+035,0.0015052714,,0.1960649048,0.0003879096,0.0002091,939.5160900496
348100000000,6.208E+029,2.082E+035,0.0015057311,,0.1952795232,0.0003874727,0.0002082,939.8030544236
347600000000,6.197E+029,2.079E+035,0.001505737,,0.1949990298,0.0003867862,0.0002079,939.8067144745
343400000000,6.109E+029,2.054E+035,0.0015056424,,0.192642885,0.0003812936,0.0002054,939.7477051354
330500000000,5.843E+029,1.977E+035,0.0015055024,,0.1854061546,0.0003646912,0.0001977,939.660322892
318000000000,5.584E+029,1.902E+035,0.0015056621,,0.178393819,0.0003485257,0.0001902,939.7599615299
305800000000,5.334E+029,1.83E+035,0.0015048446,,0.1715497794,0.000332922,0.000183,939.2497339968
294000000000,5.093E+029,1.759E+035,0.0015051542,,0.1649301345,0.0003178799,0.0001759,939.4429473352
282500000000,4.859E+029,1.69E+035,0.0015053078,,0.1584787857,0.0003032748,0.000169,939.5388195988
271400000000,4.635E+029,1.624E+035,0.0015049134,,0.1522518317,0.0002892938,0.0001624,939.2926445788
220700000000,3.625E+029,1.321E+035,0.0015043736,,0.1238097983,0.0002262546,0.0001321,938.9557370458
177400000000,2.79E+029,1.062E+035,0.0015040131,,0.0995190676,0.000174138,0.0001062,938.7307494314
140800000000,2.109E+029,8.433E+034,0.0015031661,,0.0789869488,0.0001316334,0.00008433,938.2020887513
110000000000,1.561E+029,6.592E+034,0.0015021867,,0.0617085537,9.74299161521756E-005,0.00006592,937.5907713114
