################################################################################
# config_name = SWRDP_MIT.properties.conf
# mu_0 = 1010.0
# quarks_eos_file_name = ../eos.quarks.mit/mit_bag_model_B_130.csv
# hadrons_eos_file_name = ../eos.hadron.swrdp/eos_swrdp_l0085_L97a32.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=0.0, sup_limit=2735.758620999)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=939.981926581424, sup_limit=1999.9990472153156)
#
# Range = EoSRange(inf_limit=939.981926581424, sup_limit=1999.9990472153156)
#
# Transition pressure (hadrons) = [ 18.64798398]
# Transition pressure (quarks) = [ 18.64798398]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
5347.38858662, 1609.12951858, 1942.70082448
5336.01993689, 1605.3399497, 1941.63974628
5324.65128715, 1601.55038081, 1940.57866808
5313.28263742, 1597.76081193, 1939.51758988
5301.93417299, 1593.97798144, 1938.45651168
5290.64523642, 1590.21502142, 1937.39543348
5279.35629985, 1586.4520614, 1936.33435529
5268.06736328, 1582.68910139, 1935.27327709
5256.77842671, 1578.92614137, 1934.21219889
5245.56564191, 1575.18855602, 1933.15112069
5234.3565196, 1571.45219141, 1932.09004249
5223.14739729, 1567.71582681, 1931.02896429
5211.93827497, 1563.97946221, 1929.96788609
5200.77979483, 1560.25998376, 1928.90680789
5189.65047378, 1556.55022895, 1927.84572969
5178.52115274, 1552.84047414, 1926.7846515
5167.3918317, 1549.13071932, 1925.7235733
5156.28600358, 1545.42878733, 1924.6624951
5145.23646965, 1541.74559999, 1923.6014169
5134.18693573, 1538.06241265, 1922.5403387
5123.13740181, 1534.37922531, 1921.4792605
5112.08786788, 1530.69603796, 1920.4181823
5101.11279603, 1527.03768868, 1919.3571041
5090.1430326, 1523.38111017, 1918.29602591
5079.17326917, 1519.72453166, 1917.23494771
5068.20350574, 1516.06795314, 1916.17386951
5057.27777463, 1512.4260213, 1915.11279131
5046.3878753, 1508.7960087, 1914.05171311
5035.49797597, 1505.1659961, 1912.99063491
5024.60807664, 1501.5359835, 1911.92955671
5013.72994799, 1497.90990427, 1910.86847851
5002.91967275, 1494.30649752, 1909.80740031
4992.10939751, 1490.70309077, 1908.74632212
4981.29912227, 1487.09968401, 1907.68524392
4970.48884704, 1483.49627726, 1906.62416572
4959.73634118, 1479.91210691, 1905.56308752
4949.0059999, 1476.33531739, 1904.50200932
4938.27565863, 1472.75852787, 1903.44093112
4927.54531735, 1469.18173835, 1902.37985292
4916.83694448, 1465.61227414, 1901.31877472
4906.18629576, 1462.0620579, 1900.25769653
4895.53564704, 1458.51184166, 1899.19661833
4884.88499832, 1454.96162542, 1898.13554013
4874.23434961, 1451.41140918, 1897.07446193
4863.64803889, 1447.88263127, 1896.01338373
4853.07716842, 1444.35899882, 1894.95230553
4842.50629795, 1440.83536637, 1893.89122733
4831.93542748, 1437.31173392, 1892.83014913
4821.38965969, 1433.79648071, 1891.76907093
4810.89854335, 1430.29946888, 1890.70799274
4800.407427, 1426.80245706, 1889.64691454
4789.91631066, 1423.30544524, 1888.58583634
4779.42519432, 1419.80843341, 1887.52475814
4768.9979716, 1416.33269121, 1886.46367994
4758.58669038, 1412.86225504, 1885.40260174
4748.17540915, 1409.39181886, 1884.34152354
4737.76412793, 1405.92138268, 1883.28044534
4727.37382668, 1402.45794223, 1882.21936714
4717.04235134, 1399.01411711, 1881.15828895
4706.71087601, 1395.570292, 1880.09721075
4696.37940067, 1392.12646689, 1879.03613255
4686.04792534, 1388.68264178, 1877.97505435
4675.77238748, 1385.25746839, 1876.91397615
4665.52058173, 1381.84020877, 1875.85289795
4655.26877597, 1378.42294914, 1874.79181975
4645.01697022, 1375.00568952, 1873.73074155
