################################################################################
# config_name = BJ_MIT.properties.conf
# mu_0 = 2700.0
# quarks_eos_file_name = ../workspace.eos/eos.quarks.mit/mit_bag_model_B_130.csv
# hadrons_eos_file_name = ../workspace.eos/eos.hadron.Bethe_Johnson/bethe_johnson.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=0.0, sup_limit=2735.758620999)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=956.8691890184, sup_limit=4197.316719246667)
#
# Range = EoSRange(inf_limit=956.8691890184, sup_limit=2735.758620999)
#
# Transition pressure (hadrons) = [ 28.22981097]
# Transition pressure (quarks) = [ 28.22981097]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
18941.3265548, 6140.44218495, 2676.99650763
18891.3206665, 6123.77355551, 2675.21583753
18841.4325243, 6107.14406882, 2673.43516743
18791.6317485, 6090.54388173, 2671.65449732
18741.91808, 6073.97287837, 2669.87382722
18692.3135684, 6057.43816209, 2668.09315712
18642.8214556, 6040.94081072, 2666.31248702
18593.4163507, 6024.47238381, 2664.53181692
18544.097903, 6008.03276467, 2662.75114681
18494.8954933, 5991.63172162, 2660.97047671
18445.7972205, 5975.26557742, 2659.18980661
18396.7842164, 5958.92805968, 2657.40913651
18347.8559763, 5942.61899189, 2655.62846641
18299.054941, 5926.35209906, 2653.8477963
18250.3478384, 5910.11610312, 2652.0671262
18201.7254247, 5893.90839065, 2650.2864561
18153.1915654, 5877.73067539, 2648.505786
18104.7873975, 5861.59561955, 2646.72511589
18056.4672113, 5845.48888529, 2644.94444579
18008.2305969, 5829.41022435, 2643.16377569
17960.0983175, 5813.36624978, 2641.38310559
17912.0793254, 5797.35983863, 2639.60243549
17864.1439802, 5781.38116323, 2637.82176538
17816.2918003, 5765.43013121, 2636.04109528
17768.561774, 5749.52035765, 2634.26042518
17720.9246123, 5733.64145676, 2632.47975508
17673.3699287, 5717.78990248, 2630.69908498
17625.9085878, 5701.96922167, 2628.91841487
17578.5698824, 5686.18963527, 2627.13774477
17531.3127061, 5670.43730572, 2625.35707467
17484.1368017, 5654.71208765, 2623.57640457
17437.0764529, 5639.02518877, 2621.79573447
17390.1143667, 5623.37147512, 2620.01506436
17343.2328362, 5607.74452449, 2618.23439426
17296.4403282, 5592.14678999, 2616.45372416
17249.7735689, 5576.59140771, 2614.67305406
17203.1864141, 5561.06246355, 2612.89238396
17156.6784843, 5545.55979102, 2611.11171385
17110.2871012, 5530.09576562, 2609.33104375
17063.9925523, 5514.66401871, 2607.55037365
17017.7767797, 5499.25856584, 2605.76970355
16971.6537677, 5483.88411367, 2603.98903344
16925.6493677, 5468.54960688, 2602.20836334
16879.7225064, 5453.24088975, 2600.42769324
16833.8728745, 5437.95779395, 2598.64702314
16788.1510822, 5422.71731036, 2596.86635304
16742.5135009, 5407.50468301, 2595.08568293
16696.9527382, 5392.31762505, 2593.30501283
16651.4984487, 5377.1664228, 2591.52434273
16606.1475978, 5362.04943754, 2589.74367263
16560.8729721, 5346.95778212, 2587.96300253
16515.6872008, 5331.89574462, 2586.18233242
16470.6213078, 5316.87407559, 2584.40166232
16425.6312635, 5301.87736628, 2582.62099222
16380.7168899, 5286.90547002, 2580.84032212
16335.9325485, 5271.9774689, 2579.05965202
16291.2255435, 5257.07518117, 2577.27898191
16246.592424, 5242.19749008, 2575.49831181
16202.0757122, 5227.35869818, 2573.71764171
16157.6510029, 5212.55042003, 2571.93697161
16113.2995405, 5197.76654009, 2570.15630151
16069.0501029, 5183.01683892, 2568.3756314
16024.9054665, 5168.30172503, 2566.5949613
15980.8334358, 5153.61081976, 2564.8142912
15936.8522525, 5138.95042533, 2563.0336211
15892.9854475, 5124.32844318, 2561.25295099
15849.1905783, 5109.73031208, 2559.47228089
15805.4772865, 5095.15910365, 2557.69161079
15761.8879929, 5080.62933098, 2555.91094069
15718.3695625, 5066.12323795, 2554.13027059
15674.9237971, 5051.64142662, 2552.34960048
15631.6100986, 5037.20352895, 2550.56893038
15588.3663654, 5022.78883914, 2548.78826028
15545.1921897, 5008.39723381, 2547.00759018
15502.1483512, 4994.04928764, 2545.22692008
15459.1772978, 4979.72566342, 2543.44624997
15416.2749478, 4965.42499002, 2541.66557987
15373.4990379, 4951.16646217, 2539.88490977
15330.7993, 4936.93320076, 2538.10423967
15288.1673675, 4922.722474, 2536.32356957
15245.6590121, 4908.55323953, 2534.54289946
15203.2293166, 4894.40984293, 2532.76222936
15160.8669325, 4880.28868013, 2530.98155926
15118.625758, 4866.20861423, 2529.20088916
15076.463669, 4852.15459208, 2527.42021906
15034.3682765, 4838.12259607, 2525.63954895
14992.3952113, 4824.13157433, 2523.85887885
14950.4991886, 4810.16623343, 2522.07820875
14908.6686964, 4796.22275683, 2520.29753865
14866.9633584, 4782.3213001, 2518.51686854
14825.3320414, 4768.44422127, 2516.73619844
