# energia,  pressao,  nB,  muB
3036.6621641335, 1959.8858920732, 3.01, 1659.9827429261
3020.0830155291, 1947.4572886338, 3, 1655.846768055
3003.5452340593, 1935.0656177459, 2.99, 1651.7093149858
2987.0488345477, 1922.7108845283, 2.98, 1647.5703755288
2970.5938318978, 1910.3930941275, 2.97, 1643.4299414223
2954.1802410983, 1898.1122517199, 2.96, 1639.2880043298
2937.8080772216, 1885.8683625112, 2.95, 1635.1445558402
2921.4773554203, 1873.661431735, 2.94, 1630.9995874686
2905.1880909431, 1861.4914646586, 2.93, 1626.8530906486
2888.9402991121, 1849.3584665749, 2.92, 1622.705056742
2872.7339953411, 1837.2624428091, 2.91, 1618.5554770298
2856.569195142, 1825.2033987201, 2.9, 1614.4043427087
2840.4459140921, 1813.1813396906, 2.89, 1610.2516449056
2824.3641678757, 1801.19627114, 2.88, 1606.0973746576
2808.323972265, 1789.2481985186, 2.87, 1601.9415229201
2792.3253431185, 1777.3371273072, 2.86, 1597.7840805671
2776.3682963881, 1765.4630630189, 2.85, 1593.6250383874
2760.4528481174, 1753.6260111992, 2.84, 1589.4643870839
2744.579014449, 1741.8259774279, 2.83, 1585.3021172705
2728.7468116115, 1730.0629673152, 2.82, 1581.1382194768
2712.9562559329, 1718.3369865061, 2.81, 1576.9726841413
2697.2073638347, 1706.6480406782, 2.8, 1572.8055016136
2681.5001518436, 1694.9961355458, 2.79, 1568.6366621478
2665.8346365752, 1683.3812768547, 2.78, 1564.4661559096
2650.2108347425, 1671.8034703845, 2.77, 1560.2939729716
2634.6287631719, 1660.2627219545, 2.76, 1556.1201033048
2619.0884387692, 1648.7590374123, 2.75, 1551.9445367939
2603.5898785639, 1637.2924226481, 2.74, 1547.7672632158
2588.1330996723, 1625.862883583, 2.73, 1543.5882722556
2572.7181193276, 1614.4704261788, 2.72, 1539.4075534922
2557.3449548473, 1603.1150564273, 2.71, 1535.2250964122
2542.0136236818, 1591.796780366, 2.7, 1531.0408903869
2526.724143363, 1580.5156040621, 2.69, 1526.8549246946
2511.4765315515, 1569.2715336267, 2.68, 1522.6671884983
2496.2708059981, 1558.0645752036, 2.67, 1518.4776708625
2481.1069845772, 1546.8947349792, 2.66, 1514.2863607364
2465.9850852671, 1535.7620191766, 2.65, 1510.0932469627
2450.9051261656, 1524.6664340607, 2.64, 1505.8983182688
2435.8671254751, 1513.6079859333, 2.63, 1501.7015632728
2420.8711015132, 1502.5866811365, 2.62, 1497.5029704777
2405.9170727211, 1491.6025260555, 2.61, 1493.3025282665
2391.0050576463, 1480.6555271132, 2.6, 1489.1002249087
2376.1350749644, 1469.7456907771, 2.59, 1484.8960485497
2361.3071434642, 1458.8730235545, 2.58, 1480.6899872161
2346.5212820521, 1448.0375319942, 2.57, 1476.4820288126
2331.7775097626, 1437.2392226897, 2.56, 1472.2721611162
2317.0758457551, 1426.4781022782, 2.55, 1468.0603717762
2302.4163092982, 1415.7541774358, 2.54, 1463.8466483205
2287.7989198043, 1405.0674548883, 2.53, 1459.6309781381
2273.2236967988, 1394.417941402, 2.52, 1455.4133484922
2258.6906599454, 1383.805643791, 2.51, 1451.1937465072
2244.1998290281, 1373.2305689122, 2.5, 1446.9721591756
2229.7512239681, 1362.6927236703, 2.49, 1442.7485733491
2215.344864817, 1352.1921150161, 2.48, 1438.5229757399
2200.9807717606, 1341.7287499473, 2.47, 1434.2953529182
2186.6589651178, 1331.3026355086, 2.46, 1430.0656913106
2172.3794653414, 1320.9137787915, 2.45, 1425.8339771986
2158.1422930325, 1310.5621869397, 2.44, 1421.6001967104
2143.9474689202, 1300.2478671421, 2.43, 1417.3643358286
2129.7950138802, 1289.9708266387, 2.42, 1413.1263803806
2115.6849489312, 1279.73107272, 2.41, 1408.8863160378
2101.6172952329, 1269.5286127263, 2.4, 1404.6441283156
2087.592074092, 1259.3634540491, 2.39, 1400.3998025686
2073.6093069618, 1249.2356041319, 2.38, 1396.1533239893
2059.6690154484, 1239.1450704715, 2.37, 1391.9046776034
2045.7712213042, 1229.0918606165, 2.36, 1387.6538482709
2031.9159464337, 1219.0759821689, 2.35, 1383.4008206819
2018.1032128993, 1209.0974427863, 2.34, 1379.1455793517
2004.3330429123, 1199.1562501785, 2.33, 1374.8881086235
1990.6054588525, 1189.2524121147, 2.32, 1370.6283926571
1976.9204832446, 1179.3859364153, 2.31, 1366.3664154379
1963.2781387878, 1169.5568309617, 2.3, 1362.1021607612
1949.6784483392, 1159.7651036912, 2.29, 1357.8356122379
1936.1214349125, 1150.0107625963, 2.28, 1353.5667532931
1922.6071217039, 1140.2938157333, 2.27, 1349.2955671513
1909.1355320645, 1130.6142712135, 2.26, 1345.022036848
1895.7066895245, 1120.9721372112, 2.25, 1340.7461452155
1882.3206177839, 1111.3674219603, 2.24, 1336.467874885
1868.9773407166, 1101.8001337561, 2.23, 1332.1872082828
1855.676882373, 1092.2702809562, 2.22, 1327.904127626
1842.4192669857, 1082.7778719821, 2.21, 1323.6186149181
1829.2045189672, 1073.3229153189, 2.2, 1319.330651947
1816.0326629073, 1063.9054195143, 2.19, 1315.0402202839
1802.90372359, 1054.5253931842, 2.18, 1310.7473012729
1789.817725982, 1045.1828450091, 2.17, 1306.4518760333
1776.7746952418, 1035.8777837369, 2.16, 1302.1539254531
1763.7746567184, 1026.610218183, 2.15, 1297.8534301864
