# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# Bethe & Johnson EoS, , ,
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
2.647576e+15, 9.076331e+35, 1e+39
2.625301e+15, 8.936212e+35, 1e+39
2.603120e+15, 8.797413e+35, 1e+39
2.581035e+15, 8.659930e+35, 1e+39
2.559044e+15, 8.523757e+35, 1e+39
2.537147e+15, 8.388890e+35, 1e+39
2.515344e+15, 8.255325e+35, 1e+39
2.493635e+15, 8.123058e+35, 1e+39
2.472019e+15, 7.992084e+35, 1e+39
2.450495e+15, 7.862398e+35, 1e+39
2.429065e+15, 7.733997e+35, 1e+39
2.407727e+15, 7.606875e+35, 1e+39
2.386480e+15, 7.481028e+35, 1e+39
2.365326e+15, 7.356452e+35, 1e+39
2.344262e+15, 7.233142e+35, 1e+39
2.323290e+15, 7.111093e+35, 1e+39
2.302408e+15, 6.990301e+35, 1e+39
2.281617e+15, 6.870762e+35, 1e+39
2.260915e+15, 6.752471e+35, 1e+39
2.240303e+15, 6.635423e+35, 1e+39
2.219781e+15, 6.519613e+35, 1e+39
2.199348e+15, 6.405037e+35, 1e+39
2.179003e+15, 6.291691e+35, 1e+39
2.158746e+15, 6.179570e+35, 1e+39
2.138578e+15, 6.068668e+35, 1e+39
2.118497e+15, 5.958982e+35, 1e+39
2.098503e+15, 5.850506e+35, 1e+39
2.078597e+15, 5.743236e+35, 1e+39
2.058777e+15, 5.637168e+35, 1e+39
2.039043e+15, 5.532296e+35, 1e+39
2.019396e+15, 5.428615e+35, 1e+39
1.999834e+15, 5.326121e+35, 1e+39
1.980357e+15, 5.224810e+35, 1e+39
1.960965e+15, 5.124675e+35, 1e+39
1.941657e+15, 5.025713e+35, 9e+38
1.922434e+15, 4.927919e+35, 9e+38
1.903295e+15, 4.831287e+35, 9e+38
1.884239e+15, 4.735813e+35, 9e+38
1.865266e+15, 4.641492e+35, 9e+38
1.846376e+15, 4.548319e+35, 9e+38
1.827569e+15, 4.456289e+35, 9e+38
1.808844e+15, 4.365398e+35, 9e+38
1.790200e+15, 4.275639e+35, 9e+38
1.771638e+15, 4.187008e+35, 9e+38
1.753156e+15, 4.099501e+35, 9e+38
1.734756e+15, 4.013111e+35, 9e+38
1.716435e+15, 3.927835e+35, 9e+38
1.698195e+15, 3.843666e+35, 8e+38
1.680034e+15, 3.760601e+35, 8e+38
1.661952e+15, 3.678633e+35, 8e+38
1.643949e+15, 3.597757e+35, 8e+38
1.626024e+15, 3.517970e+35, 8e+38
1.608178e+15, 3.439264e+35, 8e+38
1.590409e+15, 3.361636e+35, 8e+38
1.572717e+15, 3.285079e+35, 8e+38
1.555103e+15, 3.209590e+35, 8e+38
1.537565e+15, 3.135161e+35, 8e+38
1.520103e+15, 3.061789e+35, 8e+38
1.502717e+15, 2.989467e+35, 8e+38
1.485406e+15, 2.918191e+35, 8e+38
1.468170e+15, 2.847955e+35, 8e+38
1.451009e+15, 2.778754e+35, 7e+38
1.433922e+15, 2.710582e+35, 7e+38
1.416909e+15, 2.643434e+35, 7e+38
1.399970e+15, 2.577305e+35, 7e+38
1.383103e+15, 2.512189e+35, 7e+38
1.366310e+15, 2.448080e+35, 7e+38
1.349588e+15, 2.384973e+35, 7e+38
1.332938e+15, 2.322863e+35, 7e+38
1.316360e+15, 2.261743e+35, 7e+38
1.299853e+15, 2.201609e+35, 7e+38
1.283416e+15, 2.142454e+35, 7e+38
1.267050e+15, 2.084274e+35, 7e+38
1.250754e+15, 2.027062e+35, 7e+38
1.234527e+15, 1.970812e+35, 7e+38
1.218369e+15, 1.915519e+35, 6e+38
1.202279e+15, 1.861177e+35, 6e+38
1.186258e+15, 1.807781e+35, 6e+38
1.170304e+15, 1.755324e+35, 6e+38
1.154418e+15, 1.703801e+35, 6e+38
1.138599e+15, 1.653205e+35, 6e+38
1.122846e+15, 1.603531e+35, 6e+38
1.107159e+15, 1.554773e+35, 6e+38
1.091538e+15, 1.506925e+35, 6e+38
1.075982e+15, 1.459980e+35, 6e+38
1.060491e+15, 1.413933e+35, 6e+38
1.045064e+15, 1.368778e+35, 6e+38
1.029701e+15, 1.324508e+35, 6e+38
1.014402e+15, 1.281118e+35, 6e+38
9.991650e+14, 1.238601e+35, 5e+38
9.839908e+14, 1.196951e+35, 5e+38
9.688788e+14, 1.156161e+35, 5e+38
9.538283e+14, 1.116225e+35, 5e+38
9.388390e+14, 1.077138e+35, 5e+38
9.239104e+14, 1.038892e+35, 5e+38
9.090420e+14, 1.001481e+35, 5e+38
8.942334e+14, 9.648986e+34, 5e+38
8.794840e+14, 9.291384e+34, 5e+38
8.647935e+14, 8.941936e+34, 5e+38
8.501613e+14, 8.600577e+34, 5e+38
8.355870e+14, 8.267240e+34, 5e+38
8.210700e+14, 7.941858e+34, 5e+38
8.066099e+14, 7.624363e+34, 4e+38
7.922062e+14, 7.314688e+34, 4e+38
7.778584e+14, 7.012763e+34, 4e+38
7.635660e+14, 6.718519e+34, 4e+38
7.493285e+14, 6.431887e+34, 4e+38
7.351454e+14, 6.152797e+34, 4e+38
7.210161e+14, 5.881177e+34, 4e+38
7.069402e+14, 5.616957e+34, 4e+38
6.929172e+14, 5.360064e+34, 4e+38
6.789465e+14, 5.110425e+34, 4e+38
6.650276e+14, 4.867969e+34, 4e+38
6.511599e+14, 4.632620e+34, 4e+38
6.373430e+14, 4.404304e+34, 4e+38
6.235762e+14, 4.182946e+34, 4e+38
6.098591e+14, 3.968471e+34, 3e+38
5.961910e+14, 3.760802e+34, 3e+38
5.825715e+14, 3.559860e+34, 3e+38
5.690000e+14, 3.365569e+34, 3e+38
5.554758e+14, 3.177849e+34, 3e+38
5.419985e+14, 2.996621e+34, 3e+38
5.285674e+14, 2.821805e+34, 3e+38
5.151819e+14, 2.653317e+34, 3e+38
5.018415e+14, 2.491078e+34, 3e+38
4.885456e+14, 2.335002e+34, 3e+38
4.752935e+14, 2.185006e+34, 3e+38
4.620846e+14, 2.041005e+34, 3e+38
4.489183e+14, 1.902913e+34, 3e+38
4.357941e+14, 1.770641e+34, 3e+38
4.227111e+14, 1.644102e+34, 2e+38
4.096689e+14, 1.523206e+34, 2e+38
3.966667e+14, 1.407863e+34, 2e+38
3.837039e+14, 1.297979e+34, 2e+38
3.707798e+14, 1.193461e+34, 2e+38
3.578937e+14, 1.094215e+34, 2e+38
3.450449e+14, 1.000144e+34, 2e+38
3.322327e+14, 9.111494e+33, 2e+38
3.194565e+14, 8.271326e+33, 2e+38
3.067154e+14, 7.479919e+33, 2e+38
2.940087e+14, 6.736241e+33, 2e+38
2.813357e+14, 6.039242e+33, 2e+38
2.686955e+14, 5.387848e+33, 2e+38
2.560875e+14, 4.780969e+33, 2e+38
2.435108e+14, 4.217485e+33, 1e+38
2.309646e+14, 3.696256e+33, 1e+38
2.184479e+14, 3.216112e+33, 1e+38
2.059601e+14, 2.775856e+33, 1e+38
1.935001e+14, 2.374258e+33, 1e+38
1.810671e+14, 2.010055e+33, 1e+38
1.686601e+14, 1.681946e+33, 1e+38
# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
