#energy density (MeV/fm^3),  pressure (MeV/fm^3),  baryon density (fm^-3) 
2413.1691789246, 960.0505658761, 1.6901588995
2412.8874028448, 959.8815570173, 1.6900174881
2412.6061382005, 959.712562258, 1.6898766383
2412.3245171726, 959.5435815983, 1.6897353395
2412.0432933133, 959.3746150383, 1.6895944986
2411.7625180241, 959.205662578, 1.689454178
2411.4804535442, 959.0367242177, 1.6893123222
2411.2014480288, 958.8677999575, 1.6891747799
2410.9178951497, 958.6988897971, 1.6890308389
2410.6378831144, 958.5299937371, 1.6888912522
2410.3562036614, 958.3611117774, 1.6887498162
2410.0745415843, 958.192243918, 1.6886083816
2409.7936835914, 958.0233901592, 1.6884673922
2409.5110561265, 957.854550501, 1.6883248281
2409.2327964265, 957.6857249437, 1.6881879758
2408.9493119905, 957.5169134867, 1.688044014
2408.6699230013, 957.348116131, 1.6879050059
2408.3859733987, 957.1793328761, 1.6877604808
2408.1060576662, 957.0105637224, 1.6876208692
2407.824308412, 956.8418086698, 1.6874796404
2407.5449900764, 956.6730677186, 1.6873406391
2407.261113457, 956.5043408688, 1.6871961237
2406.9821050442, 956.3356281204, 1.6870578868
2406.6986957716, 956.1669294737, 1.6869138943
2406.4205552293, 955.9982449287, 1.6867770239
2406.1367530212, 955.8295744853, 1.6866325196
2405.8583122644, 955.6609181441, 1.686494853
2405.5759772102, 955.4922759046, 1.686352004
2405.2960131655, 955.3236477674, 1.6862126053
2405.0129631995, 955.1550337323, 1.6860688232
2404.7333511176, 954.9864337996, 1.6859298434
2404.4512729639, 954.8178479692, 1.6857871554
2404.1711956607, 954.6492762413, 1.6856476121
2403.8891555655, 954.4807186161, 1.6855049309
2403.6092954295, 954.3121750935, 1.6853655404
2403.3261093829, 954.1436456738, 1.6852215809
2403.047286861, 953.9751303569, 1.6850833294
2402.7656508192, 953.806629143, 1.6849414522
2402.4829574069, 953.6381420324, 1.6847980261
2402.2041867982, 953.4696690247, 1.6846597787
2401.9225448227, 953.3012101205, 1.6845178696
2401.6422466362, 953.1327653196, 1.684377885
2401.3615179727, 952.9643346222, 1.6842370015
2401.0795937416, 952.7959180286, 1.6840942987
2400.7993570076, 952.6275155384, 1.6839543283
2400.5192997141, 952.4591271522, 1.6838141237
2400.2374114517, 952.2907528698, 1.6836723027
2399.958393035, 952.1223926916, 1.6835332385
2399.6741660143, 951.9540466175, 1.6833874453
2399.3945142744, 951.7857146473, 1.6832480468
2399.1157137573, 951.6173967816, 1.6831100134
2398.8335411511, 951.4490930203, 1.6829664936
2398.5526985789, 951.2808033634, 1.6828257773
2398.270789436, 951.1125278113, 1.6826833281
2397.9918343451, 950.9442663637, 1.6825442377
2397.7093975716, 950.7760190211, 1.6824011838
2397.4306414119, 950.6077857833, 1.6822631211
2397.1502393754, 950.4395666506, 1.6821223361
2396.8693536406, 950.2713616229, 1.6819809851
2396.5889896306, 950.1031707005, 1.6818402069
2396.3076437851, 949.9349938833, 1.6816982977
2396.0267521851, 949.7668311716, 1.6815569148
2395.7464403019, 949.5986825654, 1.6814161409
2395.4649154081, 949.4305480647, 1.681274423
2395.1861416882, 949.26242767, 1.6811353557
2394.9043204898, 949.0943213809, 1.6809928461
2394.623520543, 948.9262291977, 1.6808514754
2394.3422370143, 948.7581511206, 1.6807095388
2394.0633028478, 948.5900871497, 1.6805706653
2393.7815545733, 948.4220372848, 1.6804281653
2393.5004950999, 948.2540015264, 1.6802860088
2393.2214458237, 948.0859798744, 1.6801473686
2392.9404211439, 947.9179723288, 1.680005215
2392.6586845416, 947.7499788899, 1.6798626846
2392.3788587956, 947.5819995577, 1.6797226909
2392.0976564747, 947.4140343324, 1.6795807295
2391.8178654465, 947.2460832139, 1.6794407385
2391.5395320744, 947.0781462027, 1.6793024115
2391.2567329621, 946.9102232983, 1.6791581089
2390.9766038265, 946.7423145012, 1.6790172909
2390.6968242495, 946.5744198115, 1.6788772693
2390.4143986958, 946.4065392293, 1.678733393
2390.1351580288, 946.2386727545, 1.6785939455
2389.8552798786, 946.0708203874, 1.6784532814
2389.575573066, 945.902982128, 1.6783132693
2389.2929920462, 945.7351579764, 1.6781695913
2389.0148194841, 945.5673479329, 1.6780312818
2388.7324406557, 945.3995519973, 1.6778873783
2388.4534840097, 945.2317701698, 1.677748086
2388.1738060871, 945.0640024507, 1.6776080447
2387.8914810643, 944.8962488398, 1.6774641468
