#energy density (MeV/fm^3),  pressure (MeV/fm^3),  baryon density (fm^-3) 
1778.2994377328, 598.5181044723, 1.3518479848
1778.0439373499, 598.3829270484, 1.351700809
1777.7912988835, 598.2477640281, 1.3515577568
1777.5390558405, 598.1126154116, 1.3514148527
1777.285532393, 597.977481199, 1.351270697
1777.031533925, 597.8423613905, 1.3511252274
1776.7794613437, 597.7072559861, 1.3509827615
1776.525134188, 597.5721649862, 1.3508369343
1776.272585068, 597.4370883907, 1.3506938864
1776.0201154497, 597.3020262, 1.3505508788
1775.7667101961, 597.1669784142, 1.3504067333
1775.5149373357, 597.0319450335, 1.3502641695
1775.2592542822, 596.8969260578, 1.3501166436
1775.0078052374, 596.7619214875, 1.3499747679
1774.7539639374, 596.6269313228, 1.3498300446
1774.5010632594, 596.4919555638, 1.3496856983
1774.2469787865, 596.3569942107, 1.3495402956
1773.9955635389, 596.2220472635, 1.3493984039
1773.7410519018, 596.0871147225, 1.3492524458
1773.488736844, 595.9521965879, 1.3491094347
1773.2356859854, 595.8172928598, 1.3489651782
1772.9821878448, 595.6824035383, 1.3488203643
1772.7289932839, 595.5475286237, 1.3486762358
1772.4764728439, 595.4126681161, 1.3485325475
1772.2250091056, 595.2778220157, 1.3483907896
1771.9710753095, 595.1429903225, 1.3482453982
1771.7172056933, 595.0081730369, 1.348100031
1771.4656616113, 594.8733701589, 1.3479574528
1771.2119290738, 594.7385816887, 1.3478128942
1770.9590157884, 594.6038076265, 1.347668635
1770.705650395, 594.4690479725, 1.3475238141
1770.4535898711, 594.3343027268, 1.3473808421
1770.1997951146, 594.1995718896, 1.3472354637
1769.9484813734, 594.064855461, 1.3470937163
1769.6939741938, 593.9301534412, 1.3469470978
1769.4422154745, 593.7954658303, 1.3468047765
1769.1889274298, 593.6607926286, 1.3466599466
1768.9355298961, 593.5261338362, 1.3465152758
1768.6845162341, 593.3914894533, 1.346373044
1768.4306300558, 593.25685948, 1.3462277775
1768.1768235424, 593.1222439164, 1.3460825514
1767.9255125723, 592.9876427628, 1.345939977
1767.672216117, 592.8530560194, 1.3457953169
1767.4188805226, 592.7184836862, 1.3456506207
1767.166815568, 592.5839257635, 1.3455073748
1766.9144569737, 592.4493822514, 1.345363804
1766.6621341184, 592.31485315, 1.3452202516
1766.4088949714, 592.1803384596, 1.3450755803
1766.1569081791, 592.0458381804, 1.3449323407
1765.9034241928, 591.9113523123, 1.3447869895
1765.6511821854, 591.7768808557, 1.3446434457
1765.3967508344, 591.6424238108, 1.3444965618
1765.1446609327, 591.5079811774, 1.3443538408
1764.8931331665, 591.3735529561, 1.3442107427
1764.6398155996, 591.2391391469, 1.3440658091
1764.3876128123, 591.10473975, 1.3439222357
1764.1353184821, 590.9703547655, 1.3437788391
1763.8827151903, 590.8359841935, 1.3436343513
1763.6291807242, 590.7016280343, 1.343489116
1763.3767893694, 590.5672862881, 1.343344884
1763.1243583165, 590.4329589548, 1.3432012205
1762.8722900021, 590.2986460349, 1.3430576743
1762.6203686262, 590.1643475284, 1.3429145766
1762.3666505853, 590.0300634354, 1.3427686686
1762.1142022152, 589.8957937563, 1.3426242106
1761.8624536177, 589.7615384909, 1.3424813324
1761.6081665361, 589.6272976398, 1.3423346303
1761.3569276066, 589.4930712027, 1.342192318
1761.104653401, 589.3588591801, 1.342048667
1760.8527033684, 589.2246615721, 1.3419051163
1760.5989074182, 589.0904783789, 1.3417589465
1760.3482315611, 588.9563096005, 1.3416172184
1760.0955255703, 588.8221552372, 1.3414729926
1759.8412701085, 588.6880152891, 1.3413258769
1759.5904215865, 588.5538897564, 1.3411838633
1759.3371992579, 588.4197786393, 1.3410386556
1759.0850409355, 588.2856819378, 1.3408949977
1758.8335586476, 588.1515996524, 1.3407517843
1758.5804104464, 588.0175317829, 1.3406065975
1758.3287225627, 587.8834783297, 1.3404634692
1758.0768321065, 587.7494392929, 1.3403197009
1757.8236856143, 587.6154146726, 1.3401744825
1757.5708517975, 587.4814044691, 1.3400295718
1757.3195068188, 587.3474086824, 1.339886388
1757.0664188814, 587.2134273128, 1.3397411742
1756.8136460911, 587.0794603605, 1.3395962701
1756.5628641026, 586.9455078254, 1.3394544127
1756.310306042, 586.811569708, 1.339309767
1756.0575942352, 586.6776460082, 1.3391648695
1755.8049159562, 586.5437367264, 1.3390199886
1755.5530112451, 586.4098418625, 1.3388763534
1755.3009415308, 586.275961417, 1.3387322377
1755.0490748896, 586.1420953898, 1.3385886046
1754.7964187148, 586.0082437811, 1.3384436944
1754.5443109007, 585.8744065912, 1.338299386
1754.2915085891, 585.7405838201, 1.3381545984
1754.0408504608, 585.6067754681, 1.3380123676
1753.7882731822, 585.4729815352, 1.3378674641
1753.5364849241, 585.3392020218, 1.3377238224
1753.2846986868, 585.205436928, 1.3375801641
1753.0320113498, 585.0716862537, 1.3374354018
1752.77971822, 584.9379499995, 1.3372904058
1752.5277144413, 584.8042281652, 1.3371464637
1752.2748041181, 584.6705207512, 1.3370010267
1752.02382623, 584.5368277575, 1.3368585983
1751.7706908959, 584.4031491844, 1.3367125032
1751.5190603309, 584.2694850319, 1.3365688747
1751.2678618438, 584.1358353004, 1.3364257737
1751.0148823874, 584.0021999898, 1.3362804822
1750.762985345, 583.8685791006, 1.3361361576
1750.5118611185, 583.7349726327, 1.3359930776
1750.2598204313, 583.6013805863, 1.3358488772
1750.0065794148, 583.4678029617, 1.3357028755
1749.7559820619, 583.3342397588, 1.3355603612
1749.5038130239, 583.2006909781, 1.3354162826
1749.2525224303, 583.0671566196, 1.3352725494
1748.9996445289, 582.9336366834, 1.3351272353
1748.7474581679, 582.8001311698, 1.3349823842
1748.4963230915, 582.6666400789, 1.3348394535
1748.2441157578, 582.5331634108, 1.3346945665
1747.9922693685, 582.3997011659, 1.3345503984
1747.741148787, 582.2662533441, 1.3344070643
1747.4888157437, 582.1328199457, 1.3342623012
1747.2370464089, 581.9994009708, 1.3341181563
1746.9844705387, 581.8659964197, 1.3339727173
1746.7339002689, 581.7326062925, 1.3338303395
1746.4813653091, 581.5992305893, 1.3336849051
1746.229899556, 581.4658693103, 1.3335414092
1745.9777150952, 581.3325224557, 1.3333963024
1745.7260065498, 581.1991900256, 1.3332521307
1745.4755355724, 581.0658720203, 1.3331097616
1745.2209223086, 580.9325684399, 1.3329614114
1744.9704896063, 580.7992792844, 1.3328190445
1744.7191722909, 580.6660045542, 1.3326752048
1744.4675041647, 580.5327442494, 1.3325310041
1744.2170892119, 580.3994983702, 1.3323886223
1743.9641331967, 580.2662669165, 1.3322427975
1743.7133037172, 580.133049889, 1.3320994875
1743.4603295263, 579.9998472873, 1.3319536291
1743.2092474846, 579.866659112, 1.3318100176
1742.9580088159, 579.733485363, 1.331666151
1742.7055773824, 579.6003260406, 1.3315208752
1742.4540888547, 579.4671811449, 1.3313767094
1742.2029274509, 579.3340506761, 1.3312328663
1741.95102538, 579.2009346344, 1.3310881585
1741.6981305539, 579.0678330199, 1.3309422737
1741.4494629955, 578.9347458329, 1.330802036
1741.19636294, 578.8016730732, 1.3306555145
1740.9455693071, 578.6686147414, 1.3305127286
1740.6937205217, 578.5355708375, 1.3303676208
1740.441427938, 578.4025413616, 1.3302223421
1740.1899599877, 578.269526314, 1.3300779539
1739.9398597046, 578.1365256949, 1.3299356009
1739.6883768833, 578.0035395043, 1.3297915669
1739.4347735271, 577.8705677423, 1.3296442411
1739.1835163538, 577.7376104094, 1.3295000939
1738.9332641441, 577.6046675055, 1.3293574565
1738.681393226, 577.4717390308, 1.3292128683
1738.4302100987, 577.3388249856, 1.3290683572
1738.1773993866, 577.2059253699, 1.3289226281
1737.9282206384, 577.0730401841, 1.3287811574
1737.6768561379, 576.9401694281, 1.3286371181
1737.4243659872, 576.8073131022, 1.3284909479
1737.1728653672, 576.6744712065, 1.3283466553
1736.9220273644, 576.5416437413, 1.3282031817
1736.6703466882, 576.4088307067, 1.3280582557
1736.418614895, 576.2760321028, 1.3279136646
1736.1687991708, 576.1432479299, 1.3277709637
1735.9161737079, 576.0104781881, 1.3276252553
1735.6649377288, 575.8777228775, 1.3274808381
1735.4140616025, 575.7449819984, 1.327337137
1735.1635704786, 575.6122555509, 1.3271935815
1734.9108635578, 575.4795435351, 1.3270476389
1734.6597098045, 575.3468459513, 1.326903231
1734.409370593, 575.2141627996, 1.3267604706
1734.1573208169, 575.0814940802, 1.3266149432
1733.9062447758, 574.9488397932, 1.3264705591
1733.6547501133, 574.8161999389, 1.3263260059
1733.4039925984, 574.6835745173, 1.3261822997
1733.1527884365, 574.5509635287, 1.3260380349
1732.9025365594, 574.4183669733, 1.325894892
1732.6503340815, 574.285784851, 1.3257490907
1732.3989091746, 574.1532171623, 1.3256041554
1732.1485343186, 574.0206639072, 1.3254611359
1731.8966404317, 573.8881250859, 1.3253156233
1731.6457319596, 573.7556006985, 1.3251716262
1731.3954321959, 573.6230907454, 1.3250286281
1731.143304359, 573.4905952265, 1.3248824308
1730.8930431067, 573.358114142, 1.324739435
1730.6419965191, 573.2256474923, 1.3245951677
1730.3899343092, 573.0931952773, 1.3244493647
1730.1389450774, 572.9607574974, 1.3243051191
1729.8889533684, 572.8283341525, 1.3241620185
1729.6365884451, 572.695925243, 1.3240160781
1729.3870591679, 572.5635307691, 1.3238735197
1729.1347516785, 572.4311507307, 1.3237276009
1728.8847214368, 572.2987851282, 1.3235844314
1728.6338558718, 572.1664339617, 1.3234401998
1728.3822495289, 572.0340972313, 1.323295103
1728.131422637, 571.9017749373, 1.3231508738
1727.8805707722, 571.7694670799, 1.3230066237
1727.6297851406, 571.6371736591, 1.3228623992
1727.3785104091, 571.5048946751, 1.3227175953
1727.1260246946, 571.3726301283, 1.3225709789
1726.8772735516, 571.2403800184, 1.3224298068
1726.6257788044, 571.108144346, 1.3222843336
1726.3750508298, 570.9759231111, 1.3221400977
1726.1250895094, 570.843716314, 1.3219970989
1725.8739335212, 570.7115239547, 1.3218523046
1725.6211216587, 570.5793460335, 1.321705159
1725.3721099394, 570.4471825503, 1.3215632654
1725.1205494199, 570.3150335056, 1.3214179176
1724.8702381853, 570.1828988995, 1.3212743844
1724.6183969753, 570.0507787321, 1.3211283467
1724.3690601653, 569.9186730036, 1.3209859396
1724.1173522104, 569.786581714, 1.3208406933
1723.8673207018, 569.6545048639, 1.3206966848
1723.6161180419, 569.522442453, 1.3205520016
1723.3663355068, 569.3903944818, 1.3204090028
1723.1153778012, 569.2583609502, 1.3202642287
1722.8636791485, 569.1263418585, 1.320118206
1722.6125755536, 568.9943372069, 1.3199735494
1722.3628892448, 568.8623469956, 1.3198305747
1722.1123057722, 568.7303712248, 1.3196861141
1721.8621943793, 568.5984098945, 1.3195425835
1721.6104256849, 568.4664630049, 1.3193967003
1721.3609665952, 568.3345305563, 1.3192536018
1721.1099846485, 568.2026125488, 1.3191089571
1720.8577665382, 568.0707089825, 1.3189624974
1720.6087035335, 567.9388198577, 1.3188197308
1720.3577383521, 567.8069451745, 1.31867507
1720.1065151256, 567.6750849331, 1.318529739
1719.8562451306, 567.5432391337, 1.3183855316
1719.605912058, 567.4114077763, 1.3182418542
1719.3556834975, 567.2795908613, 1.3180976517
1719.1040908118, 567.1477883887, 1.3179517846
1718.8529715055, 567.0160003589, 1.3178064659
1718.6041333018, 566.8842267717, 1.3176644943
1718.3538138807, 566.7524676275, 1.3175204281
1718.1027114601, 566.6207229265, 1.3173750936
1717.8514974441, 566.4889926688, 1.3172295251
1717.6021270355, 566.3572768546, 1.3170865642
1717.3517031773, 566.2255754841, 1.3169426193
1717.0992955516, 566.0938885574, 1.3167952418
1716.8512568912, 565.9622160747, 1.3166541192
1716.6017778273, 565.8305580363, 1.3165108933
1716.3486923255, 565.698914442, 1.3163626769
1716.0997247806, 565.5672852923, 1.3162204023
1715.8489264712, 565.4356705873, 1.3160755193
1715.5977647403, 565.3040703273, 1.3159295503
1715.3479371921, 565.1724845122, 1.3157857909
1715.0959173042, 565.0409131423, 1.315639451
1714.8477204401, 564.9093562177, 1.3154976525
1714.5970234896, 564.7778137387, 1.3153527794
1714.3460141466, 564.6462857055, 1.315207585
1714.0967535581, 564.5147721181, 1.3150643958
1713.8457858785, 564.3832729768, 1.3149192063
1713.5965241265, 564.2517882817, 1.3147760012
1713.3449105223, 564.120318033, 1.3146296204
1713.0943095334, 563.9888622309, 1.3144847561
1712.8448170825, 563.8574208755, 1.3143412532
1712.5950015616, 563.7259939671, 1.3141976253
1712.3448068768, 563.5945815057, 1.3140528957
1712.093357915, 563.4631834916, 1.3139069204
1711.8441841374, 563.3317999249, 1.3137640776
1711.5943586338, 563.2004308058, 1.3136196755
1711.3429669786, 563.0690761345, 1.3134737029
1711.0938555801, 562.9377359111, 1.3133308674
1710.8431614734, 562.8064101359, 1.313185352
1710.5931743275, 562.6750988089, 1.3130414155
1710.3425193304, 562.5438019304, 1.3128959028
1710.0928639954, 562.4125195005, 1.3127522738
1709.8443358077, 562.2812515196, 1.3126100257
1709.592304467, 562.1499979874, 1.3124628188
1709.3426065079, 562.0187589044, 1.3123187821
1709.0921036514, 561.8875342707, 1.3121740421
1708.8419941786, 561.7563240867, 1.312029082
1708.5921876566, 561.6251283522, 1.3118851801
1708.3428630845, 561.4939470675, 1.3117414556
1708.0923958407, 561.3627802329, 1.3115967001
1707.84219873, 561.2316278484, 1.3114518773
1707.5931286012, 561.1004899144, 1.3113084356
1707.3417934579, 560.9693664307, 1.3111625669
1707.0929932415, 560.8382573979, 1.3110193922
1706.8425872725, 560.7071628159, 1.310874275
1706.5927106612, 560.5760826849, 1.3107300945
1706.3425911116, 560.4450170051, 1.3105852615
1706.0934255536, 560.3139657768, 1.3104415538
1705.8416461829, 560.182929, 1.3102947259
1705.5925197694, 560.0519066749, 1.310151021
1705.3425738067, 559.9208988016, 1.3100069773
1705.0939542412, 559.7899053807, 1.3098638375
1704.8420998143, 559.6589264117, 1.3097167788
1704.5931873722, 559.5279618953, 1.3095733194
1704.3425825605, 559.3970118314, 1.3094280558
1704.0935363774, 559.2660762203, 1.3092843431
1703.8429872806, 559.1351550622, 1.3091390995
1703.5939664148, 559.0042483572, 1.3089953745
1703.3434003147, 558.8733561054, 1.308850098
1703.0941457139, 558.7424783071, 1.3087060915
1702.8436970122, 558.6116149624, 1.3085608752
1702.5945859734, 558.4807660716, 1.3084172844
1702.3447536791, 558.3499316347, 1.3082724669
1702.0947712025, 558.2191116519, 1.3081277781
1701.8447507885, 558.0883061234, 1.3079830541
1701.5962048265, 557.9575150496, 1.3078400507
1701.3457117082, 557.8267384303, 1.3076940121
1701.0948384416, 557.6959762658, 1.3075481904
1700.8468173833, 557.5652285564, 1.3074057524
1700.5964343709, 557.4344953022, 1.3072604786
1700.3475255653, 557.3037765033, 1.3071169254
1700.0964593396, 557.1730721599, 1.3069704452
1699.8480121528, 557.0423822723, 1.3068274344
1699.5977131893, 556.9117068405, 1.3066821707
1699.3489020746, 556.7810458648, 1.3065386427
1699.0983820623, 556.6503993453, 1.3063927307
1698.8490470424, 556.5197672822, 1.3062485895
1698.6000522224, 556.3891496757, 1.3061051395
1698.3495926631, 556.2585465259, 1.305959233
1698.1003768245, 556.127957833, 1.3058151349
1697.8499621188, 555.9973835973, 1.305669236
1697.6014708014, 555.8668238187, 1.3055263334
1697.3515766399, 555.7362784977, 1.3053810148
1697.1031245327, 555.6057476342, 1.3052381149
1696.8522845929, 555.4752312285, 1.3050916437
1696.6025565173, 555.3447292807, 1.304947124
1696.3526877566, 555.2142417912, 1.3048017782
1696.1038551733, 555.0837687598, 1.3046583283
1695.8540397408, 554.953310187, 1.3045130005
1695.6055543801, 554.8228660729, 1.304369874
1695.3557837807, 554.6924364175, 1.3042245538
1695.1053794526, 554.5620212212, 1.3040787816
1694.8566097059, 554.431620484, 1.303935324
1694.6081048697, 554.3012342062, 1.3037917968
1694.3585046495, 554.1708623879, 1.3036472598
1694.1075867895, 554.0405050293, 1.3035001406
1693.8587981226, 553.9101621305, 1.3033564869
1693.6098516219, 553.7798336918, 1.3032123701
1693.3595528756, 553.6495197133, 1.3030665959
1693.1119288695, 553.5192201952, 1.3029243265
1692.8612054426, 553.3889351376, 1.3027779954
1692.612662128, 553.2586645409, 1.3026342221
1692.3624451789, 553.128408405, 1.3024884561
1692.1127108166, 552.9981667302, 1.3023432503
1691.8634811174, 552.8679395167, 1.3021986269
1691.6165028109, 552.7377267646, 1.3020573176
1691.3655851875, 552.607528474, 1.3019103129
1691.1154879685, 552.4773446453, 1.3017645753
1690.8665665467, 552.3471752786, 1.3016202203
1690.6198481249, 552.217020374, 1.3014791804
1690.3676205873, 552.0868799316, 1.3013305047
1690.1200302355, 551.9567539517, 1.3011883654
1689.8699891034, 551.8266424345, 1.3010422347
1689.6223819925, 551.6965453802, 1.3009000627
1689.371645309, 551.5664627887, 1.3007530925
1689.1231643789, 551.4363946605, 1.3006094398
1688.8727462222, 551.3063409957, 1.3004631415
1688.6249446409, 551.1763017943, 1.300320311
1688.376077148, 551.0462770567, 1.3001761215
1688.1264623914, 550.9162667829, 1.3000310571
1687.8775490652, 550.7862709733, 1.2998861002
1687.6283956774, 550.6562896278, 1.2997415784
1687.379305503, 550.5263227467, 1.2995970794
1687.1299331242, 550.3963703302, 1.2994515332
1686.8814510448, 550.2664323785, 1.2993083865
1686.6324108978, 550.1365088916, 1.2991635267
1686.3823480386, 550.0065998699, 1.2990171268
1686.132872113, 549.8767053134, 1.2988720764
1685.885545518, 549.7468252224, 1.298729552
1685.6353725749, 549.616959597, 1.2985832816
1685.3857841845, 549.4871084374, 1.2984379792
1685.1380568425, 549.3572717437, 1.2982952817
1684.8886987158, 549.2274495162, 1.2981498787
1684.6412015005, 549.0976417551, 1.2980070806
1684.3899728701, 548.9678484604, 1.2978594067
1684.1432739241, 548.8380696324, 1.2977178565
1683.8926242432, 548.7083052712, 1.2975708007
1683.6446866513, 548.5785553771, 1.2974274134
1683.3947598145, 548.4488199501, 1.2972815502
1683.1462012283, 548.3190989906, 1.2971369989
1682.8979826865, 548.1893924985, 1.296993485
1682.6484978013, 548.0597004742, 1.2968477998
1682.3993045916, 547.9300229179, 1.2967023992
1682.1508569549, 547.8003598295, 1.2965585891
1681.9019985091, 547.6707112094, 1.2964138764
1681.6528831574, 547.5410770577, 1.2962684993
1681.4049820813, 547.4114573746, 1.2961252767
1681.1561258269, 547.2818521603, 1.2959805321
1680.9078011225, 547.152261415, 1.2958367528
1680.6570442797, 547.0226851388, 1.2956890032
1680.4099755396, 546.8931233318, 1.2955466476
1680.1609314596, 546.7635759944, 1.2954016298
1679.9113280152, 546.6340431265, 1.2952558326
1679.664162326, 546.5045247286, 1.2951130408
1679.414079588, 546.3750208006, 1.2949666518
1679.1661458816, 546.2455313428, 1.2948231679
1678.9176686402, 546.1160563554, 1.294678721
1678.6685929875, 545.9865958384, 1.2945334769
1678.4204451089, 545.8571497922, 1.2943893344
1678.1701964835, 545.7277182168, 1.2942426755
1677.9237553154, 545.5983011127, 1.2941008809
1677.6727615466, 545.4688984796, 1.2939525989
1677.4245161274, 545.3395103178, 1.2938089547
1677.176155105, 545.2101366278, 1.2936641397
1676.9291619571, 545.0807774096, 1.293521916
1676.6789917747, 544.9514326631, 1.2933748687
1676.4302958072, 544.8221023889, 1.293229923
1676.1825698469, 544.6927865869, 1.2930864465
1675.9341415564, 544.5634852574, 1.2929417649
1675.6852601281, 544.4341984005, 1.2927968917
1675.4356740301, 544.3049260165, 1.2926504333
1675.1880474139, 544.1756681054, 1.2925069829
1674.9390536911, 544.0464246674, 1.2923618571
1674.6911920899, 543.9171957029, 1.2922177463
1674.4433012325, 543.7879812119, 1.2920739857
1674.1933566136, 543.6587811946, 1.2919269797
1673.9453292886, 543.529595651, 1.2917829613
1673.6971072992, 543.4004245816, 1.2916383201
1673.4486599496, 543.2712679864, 1.2914937477
1673.1990783795, 543.1421258655, 1.2913477963
1672.9522469195, 543.0129982193, 1.2912048014
1672.7034010389, 542.8838850479, 1.291059678
1672.4550533742, 542.7547863513, 1.290915132
1672.2064327435, 542.6257021299, 1.2907699057
1671.959052934, 542.4966323837, 1.2906264839
1671.7092809935, 542.367577113, 1.2904798642
1671.4619439078, 542.2385363179, 1.2903364479
1671.2125009394, 542.1095099986, 1.2901901322
1670.9644081979, 541.9804981554, 1.2900454595
1670.7164961487, 541.8515007882, 1.2899016085
1670.4685048513, 541.7225178975, 1.289756979
1670.2205768509, 541.5935494833, 1.2896130958
1669.9721243176, 541.4645955457, 1.2894678929
1669.7232696956, 541.335656085, 1.289322151
1669.4755967031, 541.2067311013, 1.2891785528
1669.2267433947, 541.0778205949, 1.2890327968
1668.978922394, 540.9489245659, 1.2888889273
1668.7298350004, 540.8200430145, 1.2887425125
1668.4820711157, 540.6911759407, 1.2885986639
1668.2337631676, 540.562323345, 1.2884534762
1667.9853057059, 540.4334852273, 1.288308412
1667.7389898925, 540.3046615881, 1.2881662468
1667.4881196411, 540.1758524271, 1.2880175902
1667.2413844324, 540.0470577448, 1.2878748714
1666.9938927727, 539.9182775414, 1.2877309146
1666.7446155601, 539.7895118169, 1.2875847438
1666.4967047002, 539.6607605716, 1.2874402336
1666.248795386, 539.5320238057, 1.2872957058
1666.0005240208, 539.4033015192, 1.2871506797
1665.7526747627, 539.2745937125, 1.2870061755
1665.5048469717, 539.1459003857, 1.2868616742
1665.2565786435, 539.0172215389, 1.2867166166
1665.0088081469, 538.8885571724, 1.2865721365
1664.7596588963, 538.7599072862, 1.2864259664
1664.5118727922, 538.6312718806, 1.2862814545
1664.2637048822, 538.5026509559, 1.2861364239
1664.0164823158, 538.374044512, 1.2859925142
1663.7681106972, 538.2454525493, 1.2858475538
1663.5200159254, 538.1168750679, 1.2857021655
1663.2718754853, 537.9883120679, 1.2855571088
1663.0254129709, 537.8597635497, 1.2854143906
1662.7760031033, 537.7312295131, 1.2852677157
1662.5295834982, 537.6027099587, 1.285125003
1662.279419999, 537.4742048864, 1.2849770741
1662.0330605441, 537.3457142965, 1.2848343851
1661.7845991736, 537.217238189, 1.2846887998
1661.5373563983, 537.0887765644, 1.284544996
1661.2885050417, 536.9603294226, 1.2843985119
1661.041246715, 536.8318967639, 1.2842546763
1660.7933477205, 536.7034785884, 1.2841096772
1660.5452649623, 536.5750748964, 1.2839647644
1660.2970798875, 536.446685688, 1.2838190757
1660.0490575338, 536.3183109633, 1.2836741867
1659.802203215, 536.1899507227, 1.2835306753
1659.5539092122, 536.0616049661, 1.2833851123
1659.3064102943, 535.9332736939, 1.2832407884
1659.0581423085, 535.8049569061, 1.2830952132
1658.811106685, 535.6766546031, 1.2829514345
1658.5619734386, 535.5483667849, 1.2828047631
1658.3154508859, 535.4200934517, 1.2826611832
1658.0666342603, 535.2918346037, 1.2825151776
1657.8199553538, 535.1635902411, 1.2823720678
1657.5726929277, 535.0353603641, 1.2822276037
1657.3244110523, 534.9071449728, 1.2820818
1657.0762864401, 534.7789440674, 1.2819362421
1656.8277807696, 534.6507576482, 1.281790166
1656.5811482974, 534.5225857151, 1.2816470305
1656.3334287741, 534.3944282685, 1.281501813
1656.0859514548, 534.2662853086, 1.2813576017
1655.8388548091, 534.1381568355, 1.2812131739
1655.5915916044, 534.0100428494, 1.2810688496
1655.3437263341, 533.8819433504, 1.2809237226
1655.0957722137, 533.7538583388, 1.2807781861
1654.8484002213, 533.6257878147, 1.2806339868
1654.6000540336, 533.4977317783, 1.2804875502
1654.3531836386, 533.3696902297, 1.2803439129
1654.1036745858, 533.2416631694, 1.2801960688
1653.8581721987, 533.113650597, 1.2800540761
1653.6100120416, 532.9856525132, 1.2799084265
1653.3624357678, 532.857668918, 1.2797635457
1653.1154180844, 532.7296998115, 1.2796192822
1652.8677255014, 532.601745194, 1.2794741627
1652.6206724215, 532.4738050656, 1.279329847
1652.3732147601, 532.3458794266, 1.2791850119
1652.1256429469, 532.217968277, 1.2790399362
1651.8782113509, 532.090071617, 1.2788950889
1651.6308299879, 531.962189447, 1.2787499
1651.3829195822, 531.8343217669, 1.27860446
1651.1341851526, 531.706468577, 1.2784579615
1650.889257572, 531.5786298776, 1.278316333
1650.6395578292, 531.4508056687, 1.2781679626
1650.3932186008, 531.3229959504, 1.2780249868
1650.1469706236, 531.1952007232, 1.2778816886
1649.8989501112, 531.0674199869, 1.2777356424
1649.6510879362, 530.939653742, 1.2775900137
1649.4035717826, 530.8119019886, 1.2774445323
1649.1564452118, 530.6841647267, 1.2773001069
1648.9099752947, 530.5564419567, 1.2771565037
1648.6616031736, 530.4287336787, 1.2770099144
1648.4145389542, 530.3010398928, 1.2768654954
1648.1666682834, 530.1733605993, 1.2767194683
1647.9192044223, 530.0456957983, 1.276574515
1647.673300884, 529.91804549, 1.2764314827
1647.4262569882, 529.7904096746, 1.276286337
1647.1775926703, 529.6627883522, 1.2761399403
1646.9308617987, 529.5351815231, 1.2759954559
1646.6850040843, 529.4075891875, 1.2758524163
1646.4357282856, 529.2800113453, 1.2757048477
1646.1906752049, 529.1524479971, 1.275562686
1645.9419036312, 529.0248991427, 1.275415682
1645.6955098861, 528.8973647825, 1.2752718484
1645.4481222445, 528.7698449166, 1.2751265068
1645.2010395739, 528.6423395452, 1.2749814635
1644.9539648445, 528.5148486685, 1.2748367828
1644.7073832502, 528.3873722866, 1.2746923015
1644.458259339, 528.2599103998, 1.274544757
1644.211718568, 528.1324630082, 1.2744002794
1643.9670861823, 528.005030112, 1.2742587773
1643.7180251937, 527.8776117113, 1.2741112396
1643.4705709354, 527.7502078064, 1.2739656169
1643.2248560336, 527.6228183974, 1.273822747
1642.977480499, 527.4954434846, 1.2736771671
1642.7301568444, 527.368083068, 1.2735319712
1642.4828047062, 527.2407371479, 1.2733863767
1642.2364041313, 527.1134057244, 1.2732422847
1641.989113297, 526.9860887978, 1.2730967148
1641.7422934973, 526.8587863682, 1.2729520681
1641.4955871011, 526.7314984358, 1.2728078147
1641.2480902151, 526.6042250008, 1.2726615977
1641.000413209, 526.4769660633, 1.2725158411
1640.7556152154, 526.3497216236, 1.2723738325
1640.5083981976, 526.2224916817, 1.2722286189
1640.2596239186, 526.0952762379, 1.2720807555
1640.0137145426, 525.9680752923, 1.2719369991
1639.7665633892, 525.8408888453, 1.2717917949
1639.5197166518, 525.7137168968, 1.2716468882
1639.2731276719, 525.5865594472, 1.2715022858
1639.0263247522, 525.4594164966, 1.2713573852
1638.7795613408, 525.3322880451, 1.2712125062
1638.5308661784, 525.2051740931, 1.2710649845
1638.2869855729, 525.0780746405, 1.2709242118
1638.0395538235, 524.9509896875, 1.2707781256
1637.7925929678, 524.8239192345, 1.2706329623
1637.5447455407, 524.6968632816, 1.2704863242
1637.2981256383, 524.5698218289, 1.2703414773
1637.0519004657, 524.4427948766, 1.2701974972
1636.8053244405, 524.315782425, 1.2700526565
1636.557963399, 524.1887844742, 1.2699065495
1636.3118801052, 524.0618010242, 1.2697626346
1636.066039495, 523.9348320756, 1.2696189768
1635.8179161406, 523.8078776281, 1.2694718348
1635.571837411, 523.6809376822, 1.2693278893
1635.3246012, 523.554012238, 1.2691818143
1635.0788660236, 523.4271012957, 1.2690381873
1634.8314066992, 523.3002048553, 1.2688918408
1634.5843165186, 523.1733229172, 1.2687465248
1634.3379137881, 523.0464554816, 1.2686016916
1634.0919993757, 522.9196025486, 1.2684577993
1633.844663464, 522.7927641182, 1.2683118189
1633.5975934544, 522.665940191, 1.2681657799
1633.3519655349, 522.5391307667, 1.2680221509
1633.1044695648, 522.4123358458, 1.2678759213
1632.8588856114, 522.2855554284, 1.2677322985
1632.6121924814, 522.1587895147, 1.2675869455
1632.3645416154, 522.0320381049, 1.2674404398
1632.1194869686, 521.905301199, 1.2672977613
1631.8732579301, 521.7785787974, 1.267152936
1631.6256733506, 521.6518709002, 1.2670064399
