# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
2174.384802, 865.203635, 1.536155, 1978.700000
2174.126911, 865.050026, 1.536023, 1978.600000
2173.869951, 864.896430, 1.535893, 1978.500000
2173.613179, 864.742847, 1.535763, 1978.400000
2173.357795, 864.589277, 1.535636, 1978.300000
2173.101060, 864.435720, 1.535506, 1978.200000
2172.843848, 864.282176, 1.535375, 1978.100000
2172.587968, 864.128645, 1.535247, 1978.000000
2172.331281, 863.975127, 1.535117, 1977.900000
2172.073118, 863.821622, 1.534985, 1977.800000
2171.817629, 863.668130, 1.534856, 1977.700000
2171.561644, 863.514651, 1.534728, 1977.600000
2171.305029, 863.361185, 1.534598, 1977.500000
2171.047369, 863.207731, 1.534467, 1977.400000
2170.791790, 863.054291, 1.534338, 1977.300000
2170.534486, 862.900864, 1.534208, 1977.200000
2170.278441, 862.747450, 1.534078, 1977.100000
2170.020851, 862.594048, 1.533947, 1977.000000
2169.765923, 862.440660, 1.533820, 1976.900000
2169.508603, 862.287285, 1.533689, 1976.800000
2169.251070, 862.133922, 1.533558, 1976.700000
2168.996190, 861.980573, 1.533430, 1976.600000
2168.738863, 861.827237, 1.533299, 1976.500000
2168.483022, 861.673913, 1.533171, 1976.400000
2168.225507, 861.520603, 1.533039, 1976.300000
2167.971197, 861.367305, 1.532912, 1976.200000
2167.713437, 861.214021, 1.532780, 1976.100000
2167.458105, 861.060749, 1.532652, 1976.000000
2167.199379, 860.907491, 1.532519, 1975.900000
2166.944095, 860.754245, 1.532391, 1975.800000
2166.687728, 860.601012, 1.532261, 1975.700000
2166.432137, 860.447793, 1.532133, 1975.600000
2166.175066, 860.294586, 1.532002, 1975.500000
2165.919704, 860.141392, 1.531873, 1975.400000
2165.662490, 859.988212, 1.531743, 1975.300000
2165.406970, 859.835044, 1.531614, 1975.200000
2165.149161, 859.681889, 1.531482, 1975.100000
2164.893675, 859.528747, 1.531353, 1975.000000
2164.637705, 859.375619, 1.531224, 1974.900000
2164.379951, 859.222503, 1.531092, 1974.800000
2164.123952, 859.069400, 1.530963, 1974.700000
2163.868874, 858.916310, 1.530835, 1974.600000
2163.612913, 858.763233, 1.530705, 1974.500000
2163.355210, 858.610169, 1.530574, 1974.400000
2163.100120, 858.457118, 1.530445, 1974.300000
2162.842563, 858.304080, 1.530313, 1974.200000
2162.586512, 858.151055, 1.530184, 1974.100000
2162.331538, 857.998043, 1.530056, 1974.000000
2162.073854, 857.845044, 1.529924, 1973.900000
2161.818788, 857.692058, 1.529796, 1973.800000
2161.561643, 857.539085, 1.529665, 1973.700000
2161.306177, 857.386125, 1.529536, 1973.600000
2161.049886, 857.233178, 1.529406, 1973.500000
2160.793633, 857.080244, 1.529276, 1973.400000
2160.538649, 856.927323, 1.529147, 1973.300000
2160.282088, 856.774415, 1.529017, 1973.200000
2160.026468, 856.621519, 1.528888, 1973.100000
2159.769225, 856.468637, 1.528757, 1973.000000
2159.514373, 856.315768, 1.528629, 1972.900000
2159.257821, 856.162912, 1.528498, 1972.800000
2159.001122, 856.010068, 1.528367, 1972.700000
2158.745764, 855.857238, 1.528238, 1972.600000
2158.490744, 855.704421, 1.528110, 1972.500000
2158.234598, 855.551616, 1.527980, 1972.400000
2157.977635, 855.398825, 1.527849, 1972.300000
2157.720463, 855.246047, 1.527717, 1972.200000
2157.466012, 855.093281, 1.527590, 1972.100000
2157.209437, 854.940529, 1.527459, 1972.000000
2156.953317, 854.787789, 1.527329, 1971.900000
2156.698417, 854.635063, 1.527201, 1971.800000
2156.442827, 854.482349, 1.527071, 1971.700000
2156.185259, 854.329649, 1.526939, 1971.600000
2155.930414, 854.176961, 1.526811, 1971.500000
2155.674057, 854.024287, 1.526680, 1971.400000
2155.419182, 853.871625, 1.526552, 1971.300000
2155.162183, 853.718977, 1.526421, 1971.200000
2154.906023, 853.566341, 1.526291, 1971.100000
2154.650053, 853.413718, 1.526161, 1971.000000
2154.396186, 853.261109, 1.526034, 1970.900000
2154.137439, 853.108512, 1.525900, 1970.800000
2153.883661, 852.955928, 1.525773, 1970.700000
2153.627525, 852.803358, 1.525643, 1970.600000
2153.371487, 852.650800, 1.525512, 1970.500000
2153.115884, 852.498255, 1.525383, 1970.400000
2152.860035, 852.345723, 1.525253, 1970.300000
2152.603970, 852.193205, 1.525123, 1970.200000
2152.348420, 852.040699, 1.524993, 1970.100000
2152.093401, 851.888206, 1.524864, 1970.000000
2151.836887, 851.735726, 1.524733, 1969.900000
2151.581385, 851.583259, 1.524604, 1969.800000
2151.325408, 851.430805, 1.524474, 1969.700000
2151.069955, 851.278364, 1.524344, 1969.600000
2150.814011, 851.125937, 1.524214, 1969.500000
2150.558519, 850.973522, 1.524084, 1969.400000
2150.303942, 850.821120, 1.523956, 1969.300000
2150.047984, 850.668731, 1.523826, 1969.200000
2149.791626, 850.516355, 1.523695, 1969.100000
2149.536202, 850.363992, 1.523565, 1969.000000
2149.279800, 850.211642, 1.523435, 1968.900000
2149.025807, 850.059305, 1.523307, 1968.800000
2148.768297, 849.906981, 1.523174, 1968.700000
2148.514421, 849.754669, 1.523047, 1968.600000
2148.257764, 849.602371, 1.522916, 1968.500000
2148.003282, 849.450086, 1.522787, 1968.400000
2147.747478, 849.297814, 1.522657, 1968.300000
2147.492469, 849.145555, 1.522528, 1968.200000
2147.235722, 848.993309, 1.522396, 1968.100000
2146.980969, 848.841076, 1.522268, 1968.000000
2146.724696, 848.688855, 1.522137, 1967.900000
2146.470619, 848.536648, 1.522009, 1967.800000
2146.212739, 848.384454, 1.521875, 1967.700000
2145.960472, 848.232273, 1.521750, 1967.600000
2145.702987, 848.080104, 1.521618, 1967.500000
2145.447299, 847.927949, 1.521487, 1967.400000
2145.190949, 847.775807, 1.521356, 1967.300000
2144.937427, 847.623677, 1.521229, 1967.200000
2144.681452, 847.471561, 1.521098, 1967.100000
2144.425649, 847.319458, 1.520968, 1967.000000
2144.171684, 847.167367, 1.520840, 1966.900000
2143.916035, 847.015290, 1.520710, 1966.800000
2143.659965, 846.863226, 1.520579, 1966.700000
2143.404162, 846.711174, 1.520449, 1966.600000
2143.149119, 846.559136, 1.520319, 1966.500000
2142.894184, 846.407110, 1.520190, 1966.400000
2142.638184, 846.255098, 1.520059, 1966.300000
2142.382141, 846.103098, 1.519928, 1966.200000
2142.128250, 845.951112, 1.519800, 1966.100000
2141.873379, 845.799138, 1.519671, 1966.000000
2141.618387, 845.647178, 1.519542, 1965.900000
2141.362232, 845.495230, 1.519411, 1965.800000
2141.106275, 845.343296, 1.519280, 1965.700000
2140.851475, 845.191374, 1.519151, 1965.600000
2140.597367, 845.039465, 1.519022, 1965.500000
2140.340463, 844.887570, 1.518890, 1965.400000
2140.087151, 844.735687, 1.518763, 1965.300000
2139.829958, 844.583818, 1.518630, 1965.200000
2139.575683, 844.431961, 1.518502, 1965.100000
2139.321164, 844.280117, 1.518372, 1965.000000
2139.064929, 844.128287, 1.518242, 1964.900000
2138.811072, 843.976469, 1.518113, 1964.800000
2138.554372, 843.824664, 1.517981, 1964.700000
2138.300361, 843.672872, 1.517853, 1964.600000
2138.045369, 843.521094, 1.517723, 1964.500000
2137.789891, 843.369328, 1.517593, 1964.400000
2137.534450, 843.217575, 1.517462, 1964.300000
2137.279657, 843.065835, 1.517334, 1964.200000
2137.024587, 842.914109, 1.517203, 1964.100000
2136.769456, 842.762395, 1.517073, 1964.000000
2136.514071, 842.610694, 1.516943, 1963.900000
2136.258143, 842.459006, 1.516812, 1963.800000
2136.004621, 842.307331, 1.516684, 1963.700000
2135.749722, 842.155669, 1.516554, 1963.600000
2135.493406, 842.004021, 1.516423, 1963.500000
2135.238882, 841.852385, 1.516293, 1963.400000
2134.983533, 841.700762, 1.516163, 1963.300000
2134.729042, 841.549152, 1.516034, 1963.200000
2134.475866, 841.397555, 1.515907, 1963.100000
2134.220090, 841.245971, 1.515775, 1963.000000
2133.964815, 841.094400, 1.515645, 1962.900000
2133.709829, 840.942842, 1.515515, 1962.800000
2133.455585, 840.791297, 1.515386, 1962.700000
2133.198886, 840.639765, 1.515254, 1962.600000
2132.946245, 840.488246, 1.515127, 1962.500000
2132.690076, 840.336740, 1.514995, 1962.400000
2132.435843, 840.185247, 1.514866, 1962.300000
2132.180463, 840.033767, 1.514736, 1962.200000
2131.926477, 839.882300, 1.514607, 1962.100000
2131.670978, 839.730846, 1.514476, 1962.000000
2131.415155, 839.579405, 1.514345, 1961.900000
2131.162158, 839.427977, 1.514217, 1961.800000
2130.905712, 839.276562, 1.514085, 1961.700000
2130.650935, 839.125159, 1.513955, 1961.600000
2130.397494, 838.973770, 1.513827, 1961.500000
2130.141036, 838.822394, 1.513695, 1961.400000
2129.887628, 838.671031, 1.513567, 1961.300000
2129.632860, 838.519681, 1.513437, 1961.200000
2129.377672, 838.368344, 1.513307, 1961.100000
2129.122938, 838.217020, 1.513177, 1961.000000
2128.868762, 838.065708, 1.513048, 1960.900000
2128.613248, 837.914410, 1.512917, 1960.800000
2128.359883, 837.763125, 1.512789, 1960.700000
2128.105219, 837.611853, 1.512659, 1960.600000
2127.849256, 837.460593, 1.512527, 1960.500000
2127.593951, 837.309347, 1.512396, 1960.400000
2127.340010, 837.158114, 1.512267, 1960.300000
2127.086236, 837.006894, 1.512138, 1960.200000
2126.831156, 836.855686, 1.512008, 1960.100000
2126.577413, 836.704492, 1.511879, 1960.000000
2126.320998, 836.553311, 1.511747, 1959.900000
2126.068282, 836.402142, 1.511619, 1959.800000
2125.812716, 836.250987, 1.511488, 1959.700000
2125.559044, 836.099845, 1.511360, 1959.600000
2125.304008, 835.948715, 1.511229, 1959.500000
2125.049668, 835.797599, 1.511099, 1959.400000
2124.792681, 835.646496, 1.510966, 1959.300000
2124.540505, 835.495405, 1.510839, 1959.200000
2124.286374, 835.344328, 1.510710, 1959.100000
2124.029939, 835.193264, 1.510578, 1959.000000
2123.776995, 835.042212, 1.510449, 1958.900000
2123.522405, 834.891174, 1.510320, 1958.800000
2123.267511, 834.740148, 1.510189, 1958.700000
2123.013903, 834.589136, 1.510060, 1958.600000
2122.758048, 834.438137, 1.509928, 1958.500000
2122.503705, 834.287150, 1.509799, 1958.400000
2122.250627, 834.136177, 1.509670, 1958.300000
2121.995598, 833.985216, 1.509540, 1958.200000
2121.740808, 833.834269, 1.509409, 1958.100000
2121.486791, 833.683334, 1.509280, 1958.000000
2121.232806, 833.532413, 1.509150, 1957.900000
2120.978004, 833.381504, 1.509020, 1957.800000
2120.724219, 833.230609, 1.508891, 1957.700000
2120.468791, 833.079726, 1.508759, 1957.600000
2120.214542, 832.928857, 1.508629, 1957.500000
2119.961284, 832.778000, 1.508501, 1957.400000
2119.705195, 832.627157, 1.508369, 1957.300000
2119.452325, 832.476326, 1.508240, 1957.200000
2119.198724, 832.325509, 1.508112, 1957.100000
2118.942584, 832.174704, 1.507979, 1957.000000
2118.691501, 832.023912, 1.507854, 1956.900000
2118.434904, 831.873134, 1.507721, 1956.800000
2118.180730, 831.722368, 1.507591, 1956.700000
2117.927228, 831.571616, 1.507462, 1956.600000
2117.673423, 831.420876, 1.507332, 1956.500000
2117.416500, 831.270149, 1.507199, 1956.400000
2117.164364, 831.119436, 1.507072, 1956.300000
2116.910598, 830.968735, 1.506943, 1956.200000
2116.655551, 830.818048, 1.506811, 1956.100000
2116.402152, 830.667373, 1.506682, 1956.000000
2116.148054, 830.516711, 1.506552, 1955.900000
2115.893700, 830.366063, 1.506422, 1955.800000
2115.638658, 830.215427, 1.506291, 1955.700000
2115.385330, 830.064804, 1.506162, 1955.600000
2115.132121, 829.914195, 1.506033, 1955.500000
2114.876140, 829.763598, 1.505901, 1955.400000
2114.622861, 829.613014, 1.505772, 1955.300000
2114.368550, 829.462444, 1.505642, 1955.200000
2114.114109, 829.311886, 1.505511, 1955.100000
2113.861322, 829.161341, 1.505383, 1955.000000
2113.606725, 829.010810, 1.505252, 1954.900000
